,Template,edit_site,change_H,change_C,change_S,Frequency
17,[c:1]-[N:2]=[O:3]>>[c:1].O=[N:2]-[O:3]_101_000_000,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0, 3: 1}","{1: 0, 2: 0, 3: 0}","{1: 0, 2: 0, 3: 0}",1160
18,[S:1]-[C:2]>>[S:1].Br-[C:2]_00_-10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: -1}","{2: 0, 1: 0}",105
19,[N:1]-[N:2]>>[N:1].[N:2]-[O-]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",84
20,[N:1]>>C-C(-C)(-C)-O-C(=O)-[N:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},7436
21,[N:1]-[C:3]=[O:2]>>[N:1].C-[O:2]-[C:3]=O_100_000_000,"{'A': [2], 'B': [(1, 3)], 'C': [], 'R': []}","{3: 0, 2: 0, 1: 1}","{3: 0, 2: 0, 1: 0}","{3: 0, 2: 0, 1: 0}",1105
22,[c:1]-[c:2]>>Br-[c:1].Br-[c:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",232
23,[c:1]-[Br:2]>>[c:1].O=C1-C-C-C(=O)-N-1-[Br:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",1306
24,[C:1]=[C:2]>>[C:1].O=[C:2]_20_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 2, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",2973
25,[O:1]-[c:2]>>[O:1].F-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",1728
26,[O:1]=[c:2]:[n:3]>>C-[O:1]-[c:2]:[n:3]_00-1_000_000,"{'A': [1], 'B': [], 'C': [], 'R': [3, 3]}","{1: 0, 2: 0, 3: -1}","{1: 0, 2: 0, 3: 0}","{1: 0, 2: 0, 3: 0}",248
27,[N:1]-[C:2]>>[N:1].O-[C:2]=O_1-2_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: -2}","{1: 0, 2: 0}","{1: 0, 2: 0}",200
28,[N:1]>>C-N-C-C(=O)-[N:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},1
29,[C:1]=[C:2]>>O-[C:1]-[C:2]_01_00_00,"{'A': [1], 'B': [], 'C': [], 'R': []}","{2: 1, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",866
30,[c:1]-[C:2]>>Cl-[c:1].C-[Zn]-[C:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",21
31,[O:1]>>[O:1]-C-c1:c:c:c:c:c:1_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},2808
32,[C:1]-[N:2]>>[C:1].[N:2]-[O-]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",5
33,[O:1]-[c:2]>>[O:1].Cl-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",3992
34,[C:1]-[O:2]>>C-C-O-[C:1]=[O:2]_-2-1_00_00,"{'A': [1], 'B': [], 'C': [], 'R': []}","{1: -2, 2: -1}","{1: 0, 2: 0}","{1: 0, 2: 0}",1243
35,[N:1]-[C:2]>>[N:1].Br-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",7447
36,[C:1]-[O:2]>>[C:1].N-S(=O)(=O)-[O:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",47
37,[C:1]-[C:2]>>[C:1]-[Na].Cl-[C:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",121
38,[O:1]-[S:2]>>[O:1].Cl-[S:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",2908
39,[c:1]-[c:2]>>I-[c:1].C-C1(-C)-O-B(-[c:2])-O-C-1(-C)-C_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",351
40,[C:1]-[O:2]>>O-[C:1]=[O:2]_-2-1_00_00,"{'A': [1], 'B': [], 'C': [], 'R': []}","{1: -2, 2: -1}","{1: 0, 2: 0}","{1: 0, 2: 0}",1622
41,[S:1]-[C:2]>>[S:1].C-S(=O)(=O)-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",125
42,[N:1]-[C:2]>>[N:1].O=[C:2]_1-1_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: -1, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",9259
43,[O:3].[N:1]-[C:2]>>[N:1].[C:2]-[O:3]_10-1_000_000,"{'A': [3], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0, 3: -1}","{1: 0, 2: 0, 3: 0}","{1: 0, 2: 0, 3: 0}",1912
44,[O:3].[n:1]-[C:2]>>[n:1].[C:2]-[O:3]_10-1_000_000,"{'A': [3], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0, 3: -1}","{1: 0, 2: 0, 3: 0}","{1: 0, 2: 0, 3: 0}",217
45,[O:1]-[C:2]>>[O:1].C-O-C(=O)-[C:2]-Cl_1-1_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: -1}","{1: 0, 2: 0}","{1: 0, 2: 0}",13
46,[c:1]-[C:2]>>[c:1].O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",486
47,[O:1]>>C-[O:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},9190
48,[c:1]-[C:2]>>[c:1].Cl-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",1566
49,[C:2]-[O:1]-[C:3]>>C-C-[O:1].[C:2]-C-[C:3]_100_000_000,"{'A': [], 'B': [(1, 2), (1, 3)], 'C': [], 'R': []}","{2: 0, 1: 1, 3: 0}","{2: 0, 1: 0, 3: 0}","{2: 0, 1: 0, 3: 0}",1
50,[O:1]-[C:2]=[O:3]>>[O:1]=[C:2]-[O:3]-C-c1:c:c:c:c:c:1_-100_000_000,"{'A': [3], 'B': [], 'C': [(2, 1), (1, 2)], 'R': []}","{3: 0, 2: 0, 1: -1}","{3: 0, 2: 0, 1: 0}","{3: 0, 2: 0, 1: 0}",307
51,[N:1]-[c:2]>>[N:1].Br-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",3514
52,[C:1]-[C:2]-[O:3]>>C-[Al](-C)-[C:1].[C:2]=[O:3]_00-1_000_000,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 3: -1, 1: 0}","{2: 0, 3: 0, 1: 0}","{2: 0, 3: 0, 1: 0}",11
53,[O:1]-[C:2]>>[O:1].C-c1:c:c:c(-S(=O)(=O)-O-[C:2]):c:c:1_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",326
54,[S:1]=[C:2]-[N:3]>>[S:1].[C:2]#[N:3]_20-2_000_000,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 3: -2, 1: 2}","{2: 0, 3: 0, 1: 0}","{2: 0, 3: 0, 1: 0}",115
55,[C:1]-[C:2]>>[C:1].C=C-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",103
56,[C:1]-[C:2]-[O:3]>>Cl-[C:1].[C:2]=[O:3]_00-1_000_000,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0, 3: -1}","{1: 0, 2: 0, 3: 0}","{1: 0, 2: 0, 3: 0}",96
57,[C:1]#[N:2]>>O=[C:1]-[N:2]_02_00_00,"{'A': [1], 'B': [], 'C': [], 'R': []}","{1: 0, 2: 2}","{1: 0, 2: 0}","{1: 0, 2: 0}",645
58,[N:1]-[C:2]-[N:3]>>[N:1].[C:2]=[N:3]_10-2_00-1_000,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0, 3: -2}","{1: 0, 2: 0, 3: -1}","{1: 0, 2: 0, 3: 0}",27
59,[c:1]-[c:2]>>Cl-[c:1].O-B(-O)-[c:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",1234
60,[N:2]-[C:1]=[O:3]>>[C:1]#[N:2].O-C(=O)-C(-O)=[O:3]_0-20_000_000,"{'A': [], 'B': [(1, 3)], 'C': [], 'R': []}","{3: 0, 1: 0, 2: -2}","{3: 0, 1: 0, 2: 0}","{3: 0, 1: 0, 2: 0}",2
61,[C:1]-[N:2]>>Br-[C:1].C-[N:2](-[SiH](-C)-C)-[Si](-C)(-C)-C_0-2_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: -2}","{1: 0, 2: 0}","{1: 0, 2: 0}",2
62,[n:1]-[c:2]>>[n:1].O-B(-O)-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",320
63,[n:1]-[c:2]>>[n:1].Cl-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",734
64,[O:1]-[C:2]>>[O:1].Br-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",7612
65,[C:1]-[c:2]>>[C:1].Br-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",2134
66,[C:1]=[C:2]>>O=[C:1].C-C-O-P(=O)(-[C:2])-O-C-C_01_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 1, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",793
67,[O:1]>>C-[O:1]_0_1_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: 0},{1: 1},{1: 0},95
68,[c:1]-[c:2]>>O-B(-O)-[c:1].F-C(-F)(-F)-S(=O)(=O)-O-[c:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",318
69,[C:1]-[C:3]-[c:2]>>[C:1].[c:2].O=[C:3]_110_000_000,"{'A': [], 'B': [(2, 3), (1, 3)], 'C': [], 'R': []}","{2: 1, 3: 0, 1: 1}","{2: 0, 3: 0, 1: 0}","{2: 0, 3: 0, 1: 0}",8
70,[c:1]>>C-O-C(=O)-[c:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},31
71,[c:1]-[C:2]>>[c:1].O=[C:2]_1-1_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: -1, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",157
72,[c:1]-[c:2]>>Br-[c:1].O-B(-O)-[c:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",4419
73,[c:1]-[c:2]>>Br-[c:1].C-C-C-C-[Sn](-[c:2])(-C-C-C-C)-C-C-C-C_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",398
74,[N:1]-[C:2]>>[N:1].C-C-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",1353
75,[O:1]=[C:2]-[O:3]>>C-C-[O:1]-[C:2]=[O:3]_00-1_000_000,"{'A': [1], 'B': [], 'C': [(2, 3), (3, 2)], 'R': []}","{1: 0, 2: 0, 3: -1}","{1: 0, 2: 0, 3: 0}","{1: 0, 2: 0, 3: 0}",3142
76,[c:1]-[N:2]>>N-[c:1].O=[N:2]-[O-]_0-1_01_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: -1, 1: 0}","{2: 1, 1: 0}","{2: 0, 1: 0}",26
77,[O:1]-[c:2]>>[O:1].F-[c:2]_00_-10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: -1}","{2: 0, 1: 0}",149
78,[N:1]-[C:2]>>[N:1].C-C(=O)-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",1675
79,[c:1]-[c:2]>>Br-[c:1].C-C1(-C)-O-B(-[c:2])-O-C-1(-C)-C_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",1984
80,[c:1]-[C:2]>>Br-[c:1].[C:2]-[Cu]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",277
81,[C:1]-[C:2]>>[C:1].O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",170
82,[O:1]-[C:2]>>[O:1].O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",3983
83,[N:1]>>[N:1]-C(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},109
84,[C:1]-[n:2]:[n:3]>>Cl-[C:1].[n:2]:[n:3]_001_000_000,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0, 3: 1}","{1: 0, 2: 0, 3: 0}","{1: 0, 2: 0, 3: 0}",120
85,[N:1]-[C:2]>>[N:1].I-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",1765
86,[O:1]-[C:2]>>[O:1].C-C(=O)-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",987
87,[O:1]-[C:2]>>[O:1].[C:2]_01_-10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 1, 1: 0}","{2: 0, 1: -1}","{2: 0, 1: 0}",54
88,[N:1]=[C:2]>>[N:1].O=[C:2]_20_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 2}","{2: 0, 1: 0}","{2: 0, 1: 0}",3624
89,[N:1]-[c:2]>>[N:1].F-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",2983
90,[O:1]>>C-C(-C)(-C)-[O:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},1439
91,[C:1]>>C-[C:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},289
92,[C:1]=[C:2]>>[C:1].Cl-[C:2]_21_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 2, 2: 1}","{1: 0, 2: 0}","{1: 0, 2: 0}",1
93,[c:1]>>Cl-[c:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},623
94,[C:2]-[N:4]=[C:3]-[N:1]>>[N:1].N-[C:2].[C:3]#[N:4]_1000_0000_0000,"{'A': [], 'B': [(1, 3), (2, 4)], 'C': [], 'R': []}","{3: 0, 4: 0, 2: 0, 1: 1}","{3: 0, 4: 0, 2: 0, 1: 0}","{3: 0, 4: 0, 2: 0, 1: 0}",31
95,[c:1]-[N:2]>>Cl-[c:1].O-[N:2](=O)-[O-]_0-2_01_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: -2}","{1: 0, 2: 1}","{1: 0, 2: 0}",2
96,[c:1]-[C:2]>>I-[c:1].C-[Si](-C)(-C)-[C:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",71
97,[O:1]>>C-C(-C)(-C)-[Si](-C)(-C)-[O:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},970
98,[O:1]-[C:2]>>[O:1].I-[C:2]_00_-10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: -1, 2: 0}","{1: 0, 2: 0}",18
99,[C:1]-[C:2]>>[C:1]#[C:2]_-2-2_00_00,"{'A': [], 'B': [], 'C': [(2, 1), (1, 2)], 'R': []}","{2: -2, 1: -2}","{2: 0, 1: 0}","{2: 0, 1: 0}",418
100,[O:1]-[C:2]>>[O:1].Cl-C(-Cl)(-Cl)-C(=N)-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",65
101,[N:1]>>C-C(=O)-[N:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},956
102,[C:1]-[C:2]#[C:3]>>Br-[C:1].N-[C:2]-[C:3]-N_021_000_000,"{'A': [3], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 2, 3: 1, 1: 0}","{2: 0, 3: 0, 1: 0}","{2: 0, 3: 0, 1: 0}",3
103,[O:1]>>C-C-[O:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},5500
104,[n:1]-[N:2]>>[n:1].[N:2]_12_01_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 2, 1: 1}","{2: 1, 1: 0}","{2: 0, 1: 0}",8
105,[C:1]-[O:4]-[C:3]=[O:2]>>O=[C:1].[O:2]-[C:3]=[O:4]_-1000_0-100_0000,"{'A': [], 'B': [(1, 4)], 'C': [(3, 2), (2, 3)], 'R': []}","{1: -1, 3: 0, 2: 0, 4: 0}","{1: 0, 3: 0, 2: -1, 4: 0}","{1: 0, 3: 0, 2: 0, 4: 0}",1
106,[N:1]-[C:2]>>[N:1].C-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",1167
107,[O:1]=[C:2]-[O:3]>>C-[O:1]-[C:2]=[O:3]_00-1_000_000,"{'A': [1], 'B': [], 'C': [(2, 3), (3, 2)], 'R': []}","{1: 0, 2: 0, 3: -1}","{1: 0, 2: 0, 3: 0}","{1: 0, 2: 0, 3: 0}",3957
108,[N:1]-[C:3]-[N:2]>>[N:1].Cl-S(=O)(=O)-[N:2]=[C:3]_1-20_000_000,"{'A': [2], 'B': [(1, 3)], 'C': [], 'R': []}","{1: 1, 3: 0, 2: -2}","{1: 0, 3: 0, 2: 0}","{1: 0, 3: 0, 2: 0}",36
109,[N:1]-[C:2]=[N:3]>>[N:1].[C:2]#[N:3]_20-2_10-1_000,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 3: -2, 1: 2}","{2: 0, 3: -1, 1: 1}","{2: 0, 3: 0, 1: 0}",1
110,[c:1]-[C:2]-[O:3]>>Br-[c:1].[C:2]=[O:3]_00-1_000_000,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0, 3: -1}","{1: 0, 2: 0, 3: 0}","{1: 0, 2: 0, 3: 0}",1128
111,[C:4]-[S:3]-[C:2]-[N:1]>>[N:1].[C:2]=[S:3].O-S(=O)(=O)-O-[C:4]_1000_0000_0000,"{'A': [], 'B': [(3, 4), (1, 2)], 'C': [], 'R': []}","{3: 0, 2: 0, 1: 1, 4: 0}","{3: 0, 2: 0, 1: 0, 4: 0}","{3: 0, 2: 0, 1: 0, 4: 0}",4
112,[c:1]-[Cl:2]>>[c:1].Br-C-c1:c:c:c(-Br):c(-[Cl:2]):c:1_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",1
113,[N:1]-[C:3]-[N:2]>>[N:1].[N:2].O-[C:3]-[O-]_110_000_000,"{'A': [], 'B': [(2, 3), (1, 3)], 'C': [], 'R': []}","{2: 1, 3: 0, 1: 1}","{2: 0, 3: 0, 1: 0}","{2: 0, 3: 0, 1: 0}",4
114,[N:1]>>O=C1-[N:1]-C(=O)-c2:c:c:c:c:c:2-1_-2_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -2},{1: 0},{1: 0},942
115,[c:1]-[C:2]>>Br-[c:1].Br-[Zn]-[C:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",4
116,[S:1]-[c:2]>>[S:1].Br-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",310
117,[C:1]-[c:2]>>[C:1].Cl-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",416
