,Smiles_template,Smarts_template,edit_site,change_H
21,NC=O>>C-[O;+0:1]-[C;+0:2]=O.[N;+0:3],[O;+0:1]=[C;+0:2]-[N;+0:3]>>C-[O;+0:1]-[C;+0:2]=O.[N;+0:3],"[(2, 3)]","{2: 0, 1: 0, 3: 1}"
22,CC>>Br-[c;+0:1].Br-[c;+0:2],[c;+0:1]-[c;+0:2]>>Br-[c;+0:1].Br-[c;+0:2],"[(1, 2)]","{2: 0, 1: 0}"
23,CBr>>O=C1-C-C-C(=O)-N-1-[Br;+0:1].[c;+0:2],[Br;+0:1]-[c;+0:2]>>O=C1-C-C-C(=O)-N-1-[Br;+0:1].[c;+0:2],"[(2, 1)]","{2: 1, 1: 0}"
24,C=C>>O=[C;+0:1].[C;+0:2],[C;+0:1]=[C;+0:2]>>O=[C;+0:1].[C;+0:2],"[(1, 2)]","{2: 2, 1: 0}"
25,CO>>F-[c;+0:1].[O;+0:2],[c;+0:1]-[O;+0:2]>>F-[c;+0:1].[O;+0:2],"[(1, 2)]","{2: 1, 1: 0}"
26,[NH]:[C]=O>>C-[O;+0:1]-[c;+0:2]:[n;+0:3],[O;+0:1]=[c;+0:2]:[n;+0:3]>>C-[O;+0:1]-[c;+0:2]:[n;+0:3],"[(2, 1)]","{1: 0, 2: 0, 3: -1}"
27,CN>>O-[C;+0:1]=O.[N;+0:2],[C;+0:1]-[N;+0:2]>>O-[C;+0:1]=O.[N;+0:2],"[(1, 2)]","{2: 1, 1: -2}"
28,N>>C-N-C-C(=O)-[N;+0:1],[N;+0:1]>>C-N-C-C(=O)-[N;+0:1],[1],{1: -1}
29,C=C>>O-[C;+0:1]-[C;+0:2],[C;+0:1]=[C;+0:2]>>O-[C;+0:1]-[C;+0:2],"[(1, 2)]","{2: 1, 1: 0}"
30,CC>>C-[Zn]-[C;+0:1].Cl-[c;+0:2],[C;+0:1]-[c;+0:2]>>C-[Zn]-[C;+0:1].Cl-[c;+0:2],"[(1, 2)]","{2: 0, 1: 0}"
31,O>>[O;+0:1]-C-c1:c:c:c:c:c:1,[O;+0:1]>>[O;+0:1]-C-c1:c:c:c:c:c:1,[1],{1: -1}
32,CN>>[C;+0:1].[N;+0:2]-[O-],[C;+0:1]-[N;+0:2]>>[C;+0:1].[N;+0:2]-[O-],"[(1, 2)]","{1: 1, 2: 0}"
33,CO>>Cl-[c;+0:1].[O;+0:2],[c;+0:1]-[O;+0:2]>>Cl-[c;+0:1].[O;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
34,CO>>C-C-O-[C;+0:1]=[O;+0:2],[C;+0:1]-[O;+0:2]>>C-C-O-[C;+0:1]=[O;+0:2],"[(1, 2)]","{1: -2, 2: -1}"
35,CN>>Br-[C;+0:1].[N;+0:2],[C;+0:1]-[N;+0:2]>>Br-[C;+0:1].[N;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
36,CO>>N-S(=O)(=O)-[O;+0:1].[C;+0:2],[C;+0:2]-[O;+0:1]>>N-S(=O)(=O)-[O;+0:1].[C;+0:2],"[(2, 1)]","{2: 1, 1: 0}"
37,CC>>Cl-[C;+0:1].[C;+0:2]-[Na],[C;+0:1]-[C;+0:2]>>Cl-[C;+0:1].[C;+0:2]-[Na],"[(1, 2)]","{1: 0, 2: 0}"
38,OS>>Cl-[S;+0:1].[O;+0:2],[S;+0:1]-[O;+0:2]>>Cl-[S;+0:1].[O;+0:2],"[(2, 1)]","{2: 1, 1: 0}"
39,CC>>C-C1(-C)-O-B(-[c;+0:1])-O-C-1(-C)-C.I-[c;+0:2],[c;+0:1]-[c;+0:2]>>C-C1(-C)-O-B(-[c;+0:1])-O-C-1(-C)-C.I-[c;+0:2],"[(1, 2)]","{2: 0, 1: 0}"
40,CO>>O-[C;+0:1]=[O;+0:2],[C;+0:1]-[O;+0:2]>>O-[C;+0:1]=[O;+0:2],"[(1, 2)]","{1: -2, 2: -1}"
41,CS>>C-S(=O)(=O)-O-[C;+0:1].[S;+0:2],[C;+0:1]-[S;+0:2]>>C-S(=O)(=O)-O-[C;+0:1].[S;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
42,CN>>O=[C;+0:1].[N;+0:2],[C;+0:1]-[N;+0:2]>>O=[C;+0:1].[N;+0:2],"[(1, 2)]","{1: -1, 2: 1}"
43,NCCCCCO>>[C;+0:1]1-[C;+0:2]-[C;+0:3]-[C;+0:4]-[O;+0:5]-[C;+0:6]-1.[N;+0:7],[O;+0:5]-[C;+0:4]-[C;+0:3]-[C;+0:2]-[C;+0:1]-[C;+0:6]-[N;+0:7]>>[C;+0:1]1-[C;+0:2]-[C;+0:3]-[C;+0:4]-[O;+0:5]-[C;+0:6]-1.[N;+0:7],"[5, (6, 7)]","{7: 1, 6: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: -1}"
44,NCCO>>[C;+0:1]1-[C;+0:2]-[O;+0:3]-1.[n;+0:4],[O;+0:3]-[C;+0:1]-[C;+0:2]-[n;+0:4]>>[C;+0:1]1-[C;+0:2]-[O;+0:3]-1.[n;+0:4],"[3, (2, 4)]","{4: 1, 2: 0, 1: 0, 3: -1}"
45,CO>>C-O-C(=O)-[C;+0:1]-Cl.[O;+0:2],[C;+0:1]-[O;+0:2]>>C-O-C(=O)-[C;+0:1]-Cl.[O;+0:2],"[(1, 2)]","{2: 1, 1: -1}"
46,CC>>O-[C;+0:1].[c;+0:2],[C;+0:1]-[c;+0:2]>>O-[C;+0:1].[c;+0:2],"[(1, 2)]","{2: 1, 1: 0}"
47,O>>C-[O;+0:1],[O;+0:1]>>C-[O;+0:1],[1],{1: -1}
48,CC>>Cl-[C;+0:1].[c;+0:2],[C;+0:1]-[c;+0:2]>>Cl-[C;+0:1].[c;+0:2],"[(1, 2)]","{2: 1, 1: 0}"
49,COC>>C-C-[O;+0:1].[C;+0:2]-C-[C;+0:3],[C;+0:2]-[O;+0:1]-[C;+0:3]>>C-C-[O;+0:1].[C;+0:2]-C-[C;+0:3],"[(2, 1), (3, 1)]","{2: 0, 1: 1, 3: 0}"
50,O=CO>>[O;+0:1]=[C;+0:2]-[O;+0:3]-C-c1:c:c:c:c:c:1,[O;+0:1]-[C;+0:2]=[O;+0:3]>>[O;+0:1]=[C;+0:2]-[O;+0:3]-C-c1:c:c:c:c:c:1,"[(2, 3)]","{3: 0, 2: 0, 1: -1}"
51,CN>>Br-[c;+0:1].[N;+0:2],[c;+0:1]-[N;+0:2]>>Br-[c;+0:1].[N;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
52,CCO>>C-[Al](-C)-[C;+0:1].[C;+0:2]=[O;+0:3],[C;+0:1]-[C;+0:2]-[O;+0:3]>>C-[Al](-C)-[C;+0:1].[C;+0:2]=[O;+0:3],"[(1, 2)]","{2: 0, 3: -1, 1: 0}"
53,CO>>C-c1:c:c:c(-S(=O)(=O)-O-[C;+0:1]):c:c:1.[O;+0:2],[C;+0:1]-[O;+0:2]>>C-c1:c:c:c(-S(=O)(=O)-O-[C;+0:1]):c:c:1.[O;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
54,NC=S>>[C;+0:1]#[N;+0:2].[S;+0:3],[N;+0:2]-[C;+0:1]=[S;+0:3]>>[C;+0:1]#[N;+0:2].[S;+0:3],"[(1, 3)]","{1: 0, 2: -2, 3: 2}"
55,CC>>C=C-[C;+0:1].[C;+0:2],[C;+0:1]-[C;+0:2]>>C=C-[C;+0:1].[C;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
56,CCO>>Cl-[C;+0:1].[C;+0:2]=[O;+0:3],[C;+0:1]-[C;+0:2]-[O;+0:3]>>Cl-[C;+0:1].[C;+0:2]=[O;+0:3],"[(1, 2)]","{1: 0, 2: 0, 3: -1}"
57,C#N>>O=[C;+0:1]-[N;+0:2],[C;+0:1]#[N;+0:2]>>O=[C;+0:1]-[N;+0:2],"[(1, 2)]","{1: 0, 2: 2}"
58,NCN>>[C;+0:1]=[N;-1:2].[N;+0:3],[N;+0:2]-[C;+0:1]-[N;+0:3]>>[C;+0:1]=[N;-1:2].[N;+0:3],"[(1, 3)]","{3: 1, 1: 0, 2: -2}"
59,CC>>Cl-[c;+0:1].O-B(-O)-[c;+0:2],[c;+0:2]-[c;+0:1]>>Cl-[c;+0:1].O-B(-O)-[c;+0:2],"[(1, 2)]","{1: 0, 2: 0}"
60,NC=O>>O-C(=O)-C(-O)=[O;+0:1].[C;+0:2]#[N;+0:3],[N;+0:3]-[C;+0:2]=[O;+0:1]>>O-C(=O)-C(-O)=[O;+0:1].[C;+0:2]#[N;+0:3],"[(2, 1)]","{1: 0, 2: 0, 3: -2}"
61,CN>>Br-[C;+0:1].C-[N;+0:2](-[SiH](-C)-C)-[Si](-C)(-C)-C,[C;+0:1]-[N;+0:2]>>Br-[C;+0:1].C-[N;+0:2](-[SiH](-C)-C)-[Si](-C)(-C)-C,"[(1, 2)]","{1: 0, 2: -2}"
62,CN>>O-B(-O)-[c;+0:1].[n;+0:2],[c;+0:1]-[n;+0:2]>>O-B(-O)-[c;+0:1].[n;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
63,CN>>Cl-[c;+0:1].[n;+0:2],[c;+0:1]-[n;+0:2]>>Cl-[c;+0:1].[n;+0:2],"[(1, 2)]","{2: 1, 1: 0}"
64,CO>>Br-[C;+0:1].[O;+0:2],[C;+0:1]-[O;+0:2]>>Br-[C;+0:1].[O;+0:2],"[(1, 2)]","{2: 1, 1: 0}"
65,CC>>Br-[c;+0:1].[C;+0:2],[c;+0:1]-[C;+0:2]>>Br-[c;+0:1].[C;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
66,C=C>>C-C-O-P(=O)(-[C;+0:1])-O-C-C.O=[C;+0:2],[C;+0:2]=[C;+0:1]>>C-C-O-P(=O)(-[C;+0:1])-O-C-C.O=[C;+0:2],"[(1, 2)]","{1: 1, 2: 0}"
67,[OH-]>>C-[O;+0:1],[O;-1:1]>>C-[O;+0:1],[1],{1: 0}
68,CC>>F-C(-F)(-F)-S(=O)(=O)-O-[c;+0:1].O-B(-O)-[c;+0:2],[c;+0:2]-[c;+0:1]>>F-C(-F)(-F)-S(=O)(=O)-O-[c;+0:1].O-B(-O)-[c;+0:2],"[(1, 2)]","{1: 0, 2: 0}"
69,CCC>>O=[C;+0:1].[C;+0:2].[c;+0:3],[C;+0:2]-[C;+0:1]-[c;+0:3]>>O=[C;+0:1].[C;+0:2].[c;+0:3],"[(1, 3), (1, 2)]","{3: 1, 1: 0, 2: 1}"
70,C>>C-O-C(=O)-[c;+0:1],[c;+0:1]>>C-O-C(=O)-[c;+0:1],[1],{1: -1}
71,CC>>O=[C;+0:1].[c;+0:2],[C;+0:1]-[c;+0:2]>>O=[C;+0:1].[c;+0:2],"[(1, 2)]","{1: -1, 2: 1}"
72,CC>>Br-[c;+0:1].O-B(-O)-[c;+0:2],[c;+0:1]-[c;+0:2]>>Br-[c;+0:1].O-B(-O)-[c;+0:2],"[(1, 2)]","{1: 0, 2: 0}"
73,CC>>Br-[c;+0:1].C-C-C-C-[Sn](-[c;+0:2])(-C-C-C-C)-C-C-C-C,[c;+0:1]-[c;+0:2]>>Br-[c;+0:1].C-C-C-C-[Sn](-[c;+0:2])(-C-C-C-C)-C-C-C-C,"[(1, 2)]","{1: 0, 2: 0}"
74,CN>>C-C-O-[C;+0:1].[N;+0:2],[C;+0:1]-[N;+0:2]>>C-C-O-[C;+0:1].[N;+0:2],"[(1, 2)]","{2: 1, 1: 0}"
75,O=CO>>C-C-[O;+0:1]-[C;+0:2]=[O;+0:3],[O;+0:1]=[C;+0:2]-[O;+0:3]>>C-C-[O;+0:1]-[C;+0:2]=[O;+0:3],"[(2, 1)]","{1: 0, 2: 0, 3: -1}"
76,CN>>N-[c;+0:1].O=[N;+1:2]-[O-],[c;+0:1]-[N;+0:2]>>N-[c;+0:1].O=[N;+1:2]-[O-],"[(1, 2)]","{2: -1, 1: 0}"
77,CO>>F-[c;+0:1].[O;-1:2],[c;+0:1]-[O;+0:2]>>F-[c;+0:1].[O;-1:2],"[(1, 2)]","{1: 0, 2: 0}"
78,CN>>C-C(=O)-O-[C;+0:1].[N;+0:2],[C;+0:1]-[N;+0:2]>>C-C(=O)-O-[C;+0:1].[N;+0:2],"[(1, 2)]","{2: 1, 1: 0}"
79,CC>>Br-[c;+0:1].C-C1(-C)-O-B(-[c;+0:2])-O-C-1(-C)-C,[c;+0:2]-[c;+0:1]>>Br-[c;+0:1].C-C1(-C)-O-B(-[c;+0:2])-O-C-1(-C)-C,"[(1, 2)]","{1: 0, 2: 0}"
80,CC>>Br-[c;+0:1].[C;+0:2]-[Cu],[c;+0:1]-[C;+0:2]>>Br-[c;+0:1].[C;+0:2]-[Cu],"[(1, 2)]","{1: 0, 2: 0}"
81,CC>>O-[C;+0:1].[C;+0:2],[C;+0:1]-[C;+0:2]>>O-[C;+0:1].[C;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
82,CO>>O-[C;+0:1].[O;+0:2],[C;+0:1]-[O;+0:2]>>O-[C;+0:1].[O;+0:2],"[(1, 2)]","{2: 1, 1: 0}"
83,N>>[N;+0:1]-C(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,[N;+0:1]>>[N;+0:1]-C(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,[1],{1: -1}
84,C[N]:[NH]>>Cl-[C;+0:1].[n;+0:2]:[n;+0:3],[C;+0:1]-[n;+0:2]:[n;+0:3]>>Cl-[C;+0:1].[n;+0:2]:[n;+0:3],"[(1, 2)]","{1: 0, 2: 0, 3: 1}"
85,CN>>I-[C;+0:1].[N;+0:2],[C;+0:1]-[N;+0:2]>>I-[C;+0:1].[N;+0:2],"[(1, 2)]","{2: 1, 1: 0}"
86,CO>>C-C(=O)-O-[C;+0:1].[O;+0:2],[C;+0:1]-[O;+0:2]>>C-C(=O)-O-[C;+0:1].[O;+0:2],"[(1, 2)]","{2: 1, 1: 0}"
87,CO>>[C;+0:1].[O;-1:2],[C;+0:1]-[O;+0:2]>>[C;+0:1].[O;-1:2],"[(1, 2)]","{1: 1, 2: 0}"
88,C=N>>O=[C;+0:1].[N;+0:2],[C;+0:1]=[N;+0:2]>>O=[C;+0:1].[N;+0:2],"[(1, 2)]","{1: 0, 2: 2}"
89,CN>>F-[c;+0:1].[N;+0:2],[c;+0:1]-[N;+0:2]>>F-[c;+0:1].[N;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
90,O>>C-C(-C)(-C)-[O;+0:1],[O;+0:1]>>C-C(-C)(-C)-[O;+0:1],[1],{1: -1}
91,C>>C-[C;+0:1],[C;+0:1]>>C-[C;+0:1],[1],{1: -1}
92,C=C>>Cl-[C;+0:1].[C;+0:2],[C;+0:1]=[C;+0:2]>>Cl-[C;+0:1].[C;+0:2],"[(1, 2)]","{2: 2, 1: 1}"
93,C>>Cl-[c;+0:1],[c;+0:1]>>Cl-[c;+0:1],[1],{1: -1}
94,CN=CN>>N-[C;+0:1].[N;+0:2].[C;+0:3]#[N;+0:4],[C;+0:1]-[N;+0:4]=[C;+0:3]-[N;+0:2]>>N-[C;+0:1].[N;+0:2].[C;+0:3]#[N;+0:4],"[(3, 2), (1, 4)]","{3: 0, 4: 0, 1: 0, 2: 1}"
95,CN>>Cl-[c;+0:1].O-[N;+1:2](=O)-[O-],[N;+0:2]-[c;+0:1]>>Cl-[c;+0:1].O-[N;+1:2](=O)-[O-],"[(1, 2)]","{1: 0, 2: -2}"
96,CC>>C-[Si](-C)(-C)-[C;+0:1].I-[c;+0:2],[C;+0:1]-[c;+0:2]>>C-[Si](-C)(-C)-[C;+0:1].I-[c;+0:2],"[(1, 2)]","{1: 0, 2: 0}"
97,O>>C-C(-C)(-C)-[Si](-C)(-C)-[O;+0:1],[O;+0:1]>>C-C(-C)(-C)-[Si](-C)(-C)-[O;+0:1],[1],{1: -1}
98,CO>>I-[C;+0:1].[O;-1:2],[C;+0:1]-[O;+0:2]>>I-[C;+0:1].[O;-1:2],"[(1, 2)]","{2: 0, 1: 0}"
99,CC>>[C;+0:1]#[C;+0:2],[C;+0:1]-[C;+0:2]>>[C;+0:1]#[C;+0:2],"[(1, 2)]","{1: -2, 2: -2}"
100,CO>>Cl-C(-Cl)(-Cl)-C(=N)-O-[C;+0:1].[O;+0:2],[C;+0:1]-[O;+0:2]>>Cl-C(-Cl)(-Cl)-C(=N)-O-[C;+0:1].[O;+0:2],"[(1, 2)]","{2: 1, 1: 0}"
101,N>>C-C(=O)-[N;+0:1],[N;+0:1]>>C-C(=O)-[N;+0:1],[1],{1: -1}
102,C#CC>>Br-[C;+0:1].N-[C;+0:2]-[C;+0:3]-N,[C;+0:1]-[C;+0:2]#[C;+0:3]>>Br-[C;+0:1].N-[C;+0:2]-[C;+0:3]-N,"[(1, 2)]","{2: 2, 3: 1, 1: 0}"
103,O>>C-C-[O;+0:1],[O;+0:1]>>C-C-[O;+0:1],[1],{1: -1}
104,NN>>[N;+1:1].[n;+0:2],[N;+0:1]-[n;+0:2]>>[N;+1:1].[n;+0:2],"[(1, 2)]","{1: 2, 2: 1}"
105,COC=O>>O=[C;+0:1].[O;+0:2]=[C;+0:3]-[O;-1:4],[C;+0:1]-[O;+0:2]-[C;+0:3]=[O;+0:4]>>O=[C;+0:1].[O;+0:2]=[C;+0:3]-[O;-1:4],"[(1, 2)]","{1: -1, 3: 0, 4: 0, 2: 0}"
106,CN>>C-O-[C;+0:1].[N;+0:2],[C;+0:1]-[N;+0:2]>>C-O-[C;+0:1].[N;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
107,O=CO>>C-[O;+0:1]-[C;+0:2]=[O;+0:3],[O;+0:1]=[C;+0:2]-[O;+0:3]>>C-[O;+0:1]-[C;+0:2]=[O;+0:3],"[(2, 1)]","{1: 0, 2: 0, 3: -1}"
108,NCN>>Cl-S(=O)(=O)-[N;+0:1]=[C;+0:2].[N;+0:3],[N;+0:3]-[C;+0:2]-[N;+0:1]>>Cl-S(=O)(=O)-[N;+0:1]=[C;+0:2].[N;+0:3],"[(2, 3)]","{3: 1, 2: 0, 1: -2}"
109,NC=[NH2+]>>[C;+0:1]#[N;+0:2].[N;+1:3],[N;+1:2]=[C;+0:1]-[N;+0:3]>>[C;+0:1]#[N;+0:2].[N;+1:3],"[(1, 3)]","{1: 0, 2: -2, 3: 2}"
110,CCO>>Br-[c;+0:1].[C;+0:2]=[O;+0:3],[c;+0:1]-[C;+0:2]-[O;+0:3]>>Br-[c;+0:1].[C;+0:2]=[O;+0:3],"[(1, 2)]","{1: 0, 2: 0, 3: -1}"
111,CSCN>>O-S(=O)(=O)-O-[C;+0:1].[N;+0:2].[C;+0:3]=[S;+0:4],[C;+0:1]-[S;+0:4]-[C;+0:3]-[N;+0:2]>>O-S(=O)(=O)-O-[C;+0:1].[N;+0:2].[C;+0:3]=[S;+0:4],"[(1, 4), (3, 2)]","{4: 0, 3: 0, 2: 1, 1: 0}"
112,CCl>>Br-C-c1:c:c:c(-Br):c(-[Cl;+0:1]):c:1.[c;+0:2],[Cl;+0:1]-[c;+0:2]>>Br-C-c1:c:c:c(-Br):c(-[Cl;+0:1]):c:1.[c;+0:2],"[(2, 1)]","{2: 1, 1: 0}"
113,NCN>>O-[C;+0:1]-[O-].[N;+0:2].[N;+0:3],[N;+0:2]-[C;+0:1]-[N;+0:3]>>O-[C;+0:1]-[O-].[N;+0:2].[N;+0:3],"[(1, 3), (1, 2)]","{3: 1, 1: 0, 2: 1}"
114,N>>O=C1-[N;+0:1]-C(=O)-c2:c:c:c:c:c:2-1,[N;+0:1]>>O=C1-[N;+0:1]-C(=O)-c2:c:c:c:c:c:2-1,[1],{1: -2}
115,CC>>Br-[Zn]-[C;+0:1].Br-[c;+0:2],[C;+0:1]-[c;+0:2]>>Br-[Zn]-[C;+0:1].Br-[c;+0:2],"[(1, 2)]","{1: 0, 2: 0}"
116,Cl.NS>>[Cl;+0:1]-[S;+0:2].[N;+0:3],[Cl;+0:1].[N;+0:3]-[S;+0:2]>>[Cl;+0:1]-[S;+0:2].[N;+0:3],"[1, (3, 2)]","{2: 0, 3: 1, 1: -1}"
117,CS>>Br-[c;+0:1].[S;+0:2],[c;+0:1]-[S;+0:2]>>Br-[c;+0:1].[S;+0:2],"[(1, 2)]","{2: 1, 1: 0}"
118,CC>>Cl-[c;+0:1].[C;+0:2],[c;+0:1]-[C;+0:2]>>Cl-[c;+0:1].[C;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
119,C#N>>O=[C;+0:1]-[N;+0:2](-C-c1:c:c:c:c:c:1)-C-c1:c:c:c2:c(:c:1)-O-C-O-2,[C;+0:1]#[N;+0:2]>>O=[C;+0:1]-[N;+0:2](-C-c1:c:c:c:c:c:1)-C-c1:c:c:c2:c(:c:1)-O-C-O-2,"[(1, 2)]","{2: 0, 1: 0}"
120,CO>>O-[c;+0:1].[O;+0:2],[c;+0:1]-[O;+0:2]>>O-[c;+0:1].[O;+0:2],"[(1, 2)]","{2: 1, 1: 0}"
121,CBr>>Br-P(-Br)-[Br;+0:1].O-[c;+0:2],[Br;+0:1]-[c;+0:2]>>Br-P(-Br)-[Br;+0:1].O-[c;+0:2],"[(2, 1)]","{2: 0, 1: 0}"
122,C>>O-[C;+0:1],[C;+0:1]>>O-[C;+0:1],[1],{1: -1}
123,CN>>Br-[C;+0:1].[n;+0:2],[C;+0:1]-[n;+0:2]>>Br-[C;+0:1].[n;+0:2],"[(1, 2)]","{2: 1, 1: 0}"
124,CN>>[C;+0:1]#[N;+0:2],[C;+0:1]-[N;+0:2]>>[C;+0:1]#[N;+0:2],"[(1, 2)]","{1: -2, 2: -2}"
125,CO>>C-N(-C)-[C;+0:1]=O.[O;+0:2],[C;+0:1]-[O;+0:2]>>C-N(-C)-[C;+0:1]=O.[O;+0:2],"[(1, 2)]","{2: 1, 1: -2}"
126,CC=NCC>>[C;+0:1]#[N;+0:2].[C;+0:3]=[C;+0:4].[c;+0:5],[C;+0:3]-[C;+0:4]-[N;+0:2]=[C;+0:1]-[c;+0:5]>>[C;+0:1]#[N;+0:2].[C;+0:3]=[C;+0:4].[c;+0:5],"[(1, 5), (4, 2)]","{5: 1, 3: -1, 4: 0, 2: 0, 1: 0}"
127,CN>>N-[C;+0:1].[N;+0:2],[C;+0:1]-[N;+0:2]>>N-[C;+0:1].[N;+0:2],"[(1, 2)]","{2: 1, 1: 0}"
128,CO[CH]:[NH]>>F-C(-F)(-F)-S(=O)(=O)-O-[C;+0:1].[O;+0:2]=[c;+0:3]:[n;+0:4],[C;+0:1]-[O;+0:2]-[c;+0:3]:[n;+0:4]>>F-C(-F)(-F)-S(=O)(=O)-O-[C;+0:1].[O;+0:2]=[c;+0:3]:[n;+0:4],"[(1, 2)]","{4: 1, 3: 0, 2: 0, 1: 0}"
129,O>>C-O-C-[O;+0:1],[O;+0:1]>>C-O-C-[O;+0:1],[1],{1: -1}
130,CN>>C-O-S(=O)(=O)-O-[C;+0:1].[n;+0:2],[C;+0:1]-[n;+0:2]>>C-O-S(=O)(=O)-O-[C;+0:1].[n;+0:2],"[(1, 2)]","{2: 1, 1: 0}"
131,OCO>>[C;+0:1]=[O;+0:2].[O;+0:3],[O;+0:2]-[C;+0:1]-[O;+0:3]>>[C;+0:1]=[O;+0:2].[O;+0:3],"[(1, 3)]","{3: 1, 1: 0, 2: -1}"
132,CN>>F-[c;+0:1].[n;+0:2],[c;+0:1]-[n;+0:2]>>F-[c;+0:1].[n;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
