,Template,Frequency,Class
14,[C;+0:3]-[N;+0:4](-[C;+0:1]=[O;+0:2])-[C;+0:5]-[C;+0:6]-[c;+0:7](:[n;+0:8]):[n;+0:9]>>O=[C;+0:1]-[O;+0:2]-[C;+0:3].[N;+0:4]-[C;+0:5]-[C;+0:6]-[c;+0:7](:[n;+0:8]):[n;+0:9],1,15
15,[C;+0:1]-[N;+0:2]>>O-[C;+0:1].[N;+0:2]-C(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,1,16
16,[Cl;+0:1]-[c;+0:2]>>Br-C-C-c1:c:c:c:c(-[Cl;+0:1]):c:1.[c;+0:2],1,17
17,[C;+0:2]-[O;+0:1].[Cl;+0:3]>>F-c1:c:c:c(-C-[O;+0:1]):c:c:1.[C;+0:2]-[Cl;+0:3],1,18
18,[O;+0:2]=[C;+0:3]-[c;+0:1]>>C-S(=O)(=O)-[c;+0:1].C1-C-C-[O;+0:2]-C-1.N#C-[C;+0:3],1,19
19,[O;+0:1]=[C;+0:3]-[C;+0:2]>>C-C-[O;+0:1].[C;+0:2]#[C;+0:3],1,20
20,[C;+0:1]-[c;+0:2]>>Cl-S(=O)(=O)-c1:c:c:c:c(-[C;+0:1]):c:1.[c;+0:2],1,21
21,[c;+0:14]-[c;+0:1]:[c;+0:2]:[c;+0:3]-[C;+0:4]-[O;+0:5]-[c;+0:6]:[c;+0:7]:[c;+0:8]:[c;+0:9]-[C;+0:10]-[n;+0:11]:[c;+0:12]:[n;-1:13]>>Br-[c;+0:1]:[c;+0:2]:[c;+0:3]-[C;+0:4]-[O;+0:5]-[c;+0:6]:[c;+0:7]:[c;+0:8]:[c;+0:9]-[C;+0:10]-[n;+0:11]:[c;+0:12]:[n;+0:13].O-B(-O)-[c;+0:14],1,22
22,[C;+0:1]-[O;+0:2]-[C;+0:3]=[O;+0:4]>>O-[C;+0:1]=[O;+0:2].[C;+0:3].[O;-1:4],1,23
23,[N;+0:3]-[N;+0:1]=[C;+0:2]-[N;+1:4]>>O=[N;+1:1](-[C;+0:2])-[O-].[N;+0:3].[N;+0:4],1,24
24,[O;+0:3]=[N;+1:2](-[O;-1:1])-[c;+0:4]:[c;+0:5]:[c;+0:6]:[c;+0:7]-[O;-1:8]>>[O;+0:1]=[N;+1:2](-[O;-1:3])-[c;+0:4]:[c;+0:5]:[c;+0:6]:[c;+0:7]-[O;+0:8],1,25
25,[C;+0:1]-[C;+0:2]-[N;+0:3]>>C-C-O-P(=O)(-[C;+0:1])-O-C-C.O=[C;+0:2].[N;+0:3],1,26
26,[C;+0:1]-[N;+0:2]>>Cl-[C;+0:1].O=C(-[N;+0:2])-N-C-c1:c:c:c(-[N+](=O)-[O-]):c:c:1,1,27
27,[C;+0:2]-[N;+0:1]>>N-C(=O)-[N;+0:1]=S(=O)=O.O-[C;+0:2],1,28
28,[C;+0:1]-[C;+0:2]-[S;+0:4]-[C;+0:3]-[N;+0:5]>>[C;+0:1]=[C;+0:2].[C;+0:3]=[S;+0:4].[N;+0:5],1,29
29,[C;+0:2]=[C;+0:1]-[N;+0:3]>>Cl-C-c1:c:c:c2:c(:c:1)-O-[C;+0:1]-O-2.O=[C;+0:2]-[N;+0:3],1,30
30,[O;+0:1]=[S;+0:2]>>C-[N+]1(-[O-])-C-C-[O;+0:1]-C-C-1.[S;+0:2],1,31
31,[N;+0:1]-[O;+0:2]>>[N;+0:1].[O;+0:2]=[IH2]-c1:c:c:c:c:c:1,1,32
32,[C;+0:2]-[Cl;+0:1]>>Cl-C1=C-N(-[Cl;+0:1])-N-N(-Cl)-C-1.O-[C;+0:2],1,33
33,[C;+0:1]-[C;+0:2]>>C-S(=O)(=O)-O-C-[C;+0:1].C1-C-C-[C;+0:2]-O-C-1,1,34
34,[C;+0:1]-[N;+0:2]-[n;+0:3]>>O=[C;+0:1].[N;+0:2].[n;+0:3],1,35
35,[C;+0:1]-[O;+0:4]-[C;+0:3](=[O;+0:2])-[c;+0:5](:[n;+0:6]):[n;+0:7]>>Cl-C(=O)-O-[C;+0:1].[O;+0:2]-[C;+0:3](=[O;+0:4])-[c;+0:5](:[n;+0:6]):[n;+0:7],1,36
36,[C;+0:1]-[N;+0:3]-[C;+0:2]>>C-N(-C)-P(=O)(-N(-C)-C)-N(-C)-[C;+0:1].F-C(-F)(-F)-S(=O)(=O)-O-C-[C;+0:2].[N;+0:3],1,37
37,[C;+0:2]-[C;+0:1]>>C-C(-C)-[N-]-[C;+0:1].C-[C;+0:2],1,38
38,[C;+0:1]-[n;+0:5]:[c;+0:4]:[n;+1:3].[O;-1:2]>>[C;+0:1]-[O;+0:2].[n;+0:3]:[c;+0:4]:[n;+0:5],1,39
39,[C;+0:1]-[N;+0:4]=[C;+0:3]-[N;+0:2]>>N-[C;+0:1].[N;+0:2].O=[C;+0:3]-[N;+0:4],1,40
40,[C;+0:1]-[N;+0:2]>>C-C(-N-[C;+0:1])-c1:c:c:n:c2:c:c:c:c:c:1:2.[N;+0:2],1,41
41,[C;+0:1]=[C;+0:2]-[C;+0:3]-[O;+0:4]-[c;+0:5]>>C1-[C;+0:1]-[C;+0:2]-[C;+0:3]-[O;+0:4]-1.Cl-[c;+0:5],1,42
42,[C;+0:1]-[N;+0:2]>>C-[C;+0:1](=O)-O-C=O.[N;+0:2],1,43
43,[F;+0:1]-[c;+0:2]>>O-C(=O)-C(-C-C1-C-C-C-C-C-1)-N1-C-c2:c:c:c:c(-[F;+0:1]):c:2-C-1=O.[c;+0:2],1,44
44,[O;+0:7]-[C;+0:1]-[N;+0:5]-[C;+0:4]-[C;+0:3]-[C;+0:2]-[C;+0:6]-[Cl;+0:8]>>Cl-[C;+0:1]-Cl.[C;+0:2]1-[C;+0:3]-[C;+0:4]-[N;+0:5]-[C;+0:6]-1.[O;+0:7].[Cl;+0:8],1,45
45,[C;+0:2]-[C;+0:3](-[C;+0:1])=[O;+0:4]>>C-O-[C;+0:1]=O.[C;+0:2].[C;+0:3]-[O;-1:4],1,46
46,[C;+0:1]-[O;+0:2]>>Br-[C;+0:1].C-C(-C)(-C-[O;+0:2])-C=O,1,47
47,[Si;+0:2]-[c;+0:1]>>Br-[c;+0:1].F-C(-F)(-F)-S(=O)(=O)-O-[Si;+0:2],1,48
48,[c;+0:1]-[C;+0:2]>>Cl-[c;+0:1].N#C-[Zn]-[C;+0:2],1,49
49,[S;+0:2]-[c;+0:1]>>F-C(-F)(-F)-C(-F)(-F)-C(-F)(-F)-C(-F)(-F)-S(=O)(=O)-O-[c;+0:1].[S;+0:2],1,50
50,[C;+0:1]-[S;+0:2]-[N;+0:3]>>C-N(-[C;+0:1])-c1:c:c:c:c:n:1.Cl-[S;+0:2]-Cl.[N;+0:3],1,51
51,[O;+0:2]-[P;+0:1]=[O;+0:3]>>Cl-[P;+0:1]-Cl.[O;+0:2].[O;+0:3],1,52
52,[C;+0:1]1-[C;+0:2]-[C;+0:3]-[C;+0:4]-1>>[C;+0:1].[C;+0:2]=[C;+0:3]1-C-C-[C;+0:4]-1,1,53
53,[C;+0:1]-[C;+0:2]>>C-[C;+0:1].[C;+0:2]-[Si](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,1,54
54,[O;+0:3]-[C;+0:2]=[O;+0:1]>>C-C(-C)-[O;+0:1]-[C;+0:2]=O.[O;+0:3],1,55
55,[C;+0:1]-[O;+0:4]-[C;+0:3]-[C;+0:2]>>O-[C;+0:1].[C;+0:2]-[K].[C;+0:3]=[O;+0:4],1,56
56,[C;+0:1]-[C;+0:2]>>C-C(-[C;+0:1])-N1-C-C-C(-O)-C(-O)-C-1.O-C-[C;+0:2],1,57
57,[C;+0:2]-[c;+0:1]>>O-C(=O)-C-O-c1:c:c:c(-C-C-[c;+0:1]):c:c:1.[C;+0:2],1,58
58,[C;+0:1]-[n;+0:2]:[n;+0:3]>>C-O-C(-O-[C;+0:1])-N(-C)-C.[n;+0:2]:[n;+0:3],1,59
59,[Br;+0:1]-[c;+0:2]>>Br-P(-Br)(=O)-[Br;+0:1].C-C-O-[c;+0:2],1,60
60,[N;+0:1]=[C;+0:3](-[N;+0:2])-[N;+0:4]-[C;+0:5]-[C;+0:6]-[O;+0:7]>>[N;+0:1].[N;+0:2]=[C;+0:3]1-[N;+0:4]-[C;+0:5]-[C;+0:6]-[O;+0:7]-1,1,61
61,[C;+0:1]1-[C;+0:2]-[C;+0:3]-1>>C1-C-O-[C;+0:1]-C-O-1.[C;+0:2]=[C;+0:3],1,62
62,[O;+0:2]-[C;+0:3]-[c;+0:1]>>C=C-[c;+0:1].O=[Mn](=O)(-[O-])=[O;+0:2].[C;+0:3],1,63
63,[C;+0:1]-[C;+0:2]>>F-C(-F)(-F)-S(=O)(=O)-O-[C;+0:1].[C;+0:2]-[Mg+],1,64
64,[O;+0:2]-[C;+0:3](-[O;+0:4])=[O;+0:1]>>C-[O;+0:1].[O;+0:2]=[C;+0:3]=[O;+0:4],1,65
65,[C;+0:1]-[c;+0:2]>>C-O-N(-C)-C(=O)-c1:c:c:c(-[C;+0:1]):c:c:1.[c;+0:2]-O-C-c1:c:c:c:c:c:1,1,66
66,[C;+0:1]-[C;+0:2]>>Br-C-C-[C;+0:1].Br-[C;+0:2],1,67
67,[C;+0:2]-[C;+0:1]>>C-S(=O)(=O)-[C;+0:1].[C;+0:2]-[Na],1,68
68,[O;+0:1]-[C;+0:2]=[O;+0:3]>>O=C=[O;+0:1].[C;+0:2]-[O;+0:3],1,69
69,[C;+0:1]-[N;+0:2]>>C-C-C-O-c1:c:c:c2:c(:c:1)-C(-N)-C-C-2-O-[C;+0:1]-C=C.[N;+0:2],1,70
70,[Zr;+1:1]-[c;+0:2]>>[Zr2;+2:1].[c;+0:2],1,71
71,[O;+0:1]=[c;+0:2]:[c;+0:3]:[c;+0:4]:[n;+0:5]>>C-C(-C)-O-B(-O-C(-C)-C)-[O;+0:1]-C(-C)-C.[c;+0:2]:[c;+0:3]:[c;+0:4]:[n;+0:5],1,72
72,[C;+0:2]-[C;+0:1]=[O;+0:3]>>Cl-[C;+0:1]=[C;+0:2].O-S(=O)(=O)-[O;+0:3],1,73
73,[C;+0:3]=[C;+0:1]-[c;+0:2]>>Cl-[C;+0:1]-Cl.O=C-[c;+0:2].[C;+0:3]=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,1,74
74,[O;+0:3]-[P;+0:1]=[O;+0:2]>>C-C(-C)-N(-[P;+0:1])-C(-C)-C.O-C(=O)-[O;-1:2].[O;+0:3],1,75
75,[N;+0:2]-[C;+0:1]-[O;+0:3]>>S=[C;+0:1].[N;+1:2].[O;+0:3],1,76
76,[F;+0:1]-[c;+0:2]>>Br-C-c1:c:c:c(-[F;+0:1]):c:c:1-Cl.[c;+0:2],1,77
77,[N;+0:2]-[C;+0:1]-[O;-1:3]>>[C;+0:1]=[N;+0:2].[O;+0:3],1,78
78,[F;+0:1]-[C;+0:2]-[S;-1:3]>>C-[Si-](-C)(-C)(-F)-[F;+0:1].[C;+0:2]=[S;+0:3],1,79
79,[N;+0:4]-[C;+0:1]-[C;+0:2]-[O;+0:3]>>C-C(=O)-[C;+0:1].[C;+0:2]=[O;+0:3].[N;-1:4],1,80
80,[C;+0:1]=[C;+0:5]-[c;+0:4]:[c;+0:3]:[c;+0:2]>>N#C-C(=[C;+0:1])-[c;+0:2]:[c;+0:3]:[c;+0:4].[C;+0:5],1,81
81,[n;+0:8]:[c;+0:7]:[n;+0:6]:[c;+0:5]:[c;+0:4]:[c;+0:3]-[C;+0:2]-[C;+0:1]=[N;+0:9]>>O=[C;+0:1]-[C;+0:2]-[c;+0:3]:[c;+0:4]:[c;+0:5]:[n;+0:6]:[c;+0:7]:[n;+0:8].[N;+0:9],1,82
82,[C;+0:1]-[S;+0:3]=[O;+0:2]>>Br-[C;+0:1].C-[O;-1:2].[O-]-C(=[S;+0:3])-c1:c:c:c:c:c:1,1,83
83,[C;+0:2]-[C;+0:1]>>C-C(=O)-[C;-1:1]-C(-C)=O.Cl-[C;+0:2],1,84
84,[c;+0:1]-[O;+0:2]-[c;+0:3]:[c;+0:4]:[c;+0:5]:[n;+0:6]>>Br-[c;+0:1].[O;+0:2]=[c;+0:3]:[c;+0:4]:[c;+0:5]:[n;+0:6],1,85
85,[C;+0:1]-[C;+0:2].[Cl;+0:3]>>C-C-O-[C;+0:1]=O.[C;+0:2]-C-[Cl;+0:3],1,86
86,[C;+0:1]#[C;+0:2]-[C;+0:3]>>C#[C;+0:1]-[C;+0:2]-O.[C;+0:3],1,87
87,[C;+0:1]-[N;+0:2].[Cl;+0:3]>>[C;+0:1]=[N;+1:2].[Cl;-1:3],1,88
88,[N;+0:1]-[N;+0:2]>>[N;+0:1].[N;+0:2]-C-c1:c:c:c:o:1,1,89
89,[C;+0:1]-[C;+0:2]-[N;+0:3]>>C-N(-[C;+0:1])-C=O.Cl-[C;+0:2].[N;+0:3],1,90
90,[O;+0:1]-[C;+0:2]-[c;+0:8]:[c;+0:7]-[c;+0:6]:[c;+0:5]-[C;+0:4]-[O;+0:3]>>[O;+0:1]=[C;+0:2]1-[O;+0:3]-[C;+0:4]-[c;+0:5]:[c;+0:6]-[c;+0:7]:[c;+0:8]-1,1,91
91,[N;+0:1]-[c;+0:2]>>C-C(-C)(-C)-O-C(=O)-[N;+0:1].F-C(-F)(-F)-S(=O)(=O)-O-[c;+0:2],1,92
92,[N;+0:1]-[C;+0:3]=[O;+0:2]>>C-[N;+0:1].C-[O;+0:2]-[C;+0:3]=O,1,93
93,[S;+0:2]-[c;+0:1]>>C-c1:c:c(-C):c(-S(=O)(=O)-O-[c;+0:1]):c(-C):c:1.[S;+0:2],1,94
94,[C;+0:3]-[C;+0:2]-[O;+0:1]>>C-C-C-C-C-C1-C-C-C(-C2-C-C-C(=[O;+0:1])-C-C-2)-C-C-1.[C;+0:2]=[C;+0:3],1,95
95,[O;+0:2]-[c;+0:1]>>C-[N+]1(-[c;+0:1])-C-C-O-C-C-1.[O;+0:2],1,96
96,[C;+0:2]-[C;+0:4]-[C;+0:3]-[N;+1:1]>>O=[N+](-[O-])-C(-[N;+1:1])(-[N+](=O)-[O-])-[N+](=O)-[O-].[C;+0:2]-[Li].[C;+0:3]=[C;+0:4],1,97
97,[C;+0:1]-[n;+0:2]:[n;+0:3]:[n;+0:4]>>F-C(-F)(-F)-S(=O)(=O)-O-[C;+0:1].[n;+0:2]:[n;+0:3]:[n;+0:4],1,98
98,[Br;+0:2]-[c;+0:1]>>C#C-[c;+0:1].C-C(-C)-C-C-C(=O)-c1:c:c:c(-[Br;+0:2]):c:c:1,1,99
99,[C;+0:3]-[C;+0:2]#[C;+0:1]>>Br-N1-C(=O)-C-[C;+0:1]-[C;+0:2]-1=O.[C;+0:3],1,100
100,[N;+0:2]-[C;+0:1]-[N;+0:3]>>C-C-C-C-C-[C;+0:1].[N;+0:2].[N;+0:3],1,101
101,[O;-1:1]-[n;+1:2]>>Cl-c1:c:c:c:c(-C(=O)-[O;+0:1]):c:1.[n;+0:2],1,102
102,[N;+0:1]#[C;+0:2]>>[N;+0:1]-[C;+0:2]-C-c1:c:c:c:c:c:1,1,103
103,[N;+0:1]-[c;+0:2]>>F-c1:c:c2:c(:c:c:1-[N;+0:1])-N-C-C-2.[c;+0:2],1,104
104,[C;+0:2]-[C;+0:3]=[O;+0:1]>>C-C(=O)-O-C(-C)=[O;+0:1].[C;+0:2]=[C;+0:3],1,105
105,[C;+0:2]-[O;+0:1]>>N-S(-O)(=O)=[O;+0:1].[C;+0:2],1,106
106,[N;+0:1]-[c;+0:2]>>C-[N;+0:1]-C=O.Cl-[c;+0:2],1,107
107,[S;+0:1]-[N;+0:2]>>O-c1:c:c:c:c:c:1-[S;+0:1].[N;+0:2],1,108
108,[C;+0:1]=[C;+0:2]>>F-[C;+0:1](-F)(-F)-C(=O)-[O-].[C;+0:2],1,109
109,[O;+0:3]-[C;+0:2]-[C;+0:1]-[N;+0:4]>>O=[C;+0:1]-[C;+0:2]-[O;-1:3].[N;+1:4],1,110
110,[N;+0:1]-[C;+0:2]-[N;+0:3]>>C-c1:c:c:c(-c2:n:c(-c3:c:c:c:c:c:3):c(-[N;+0:1]):s:2):c:c:1.[C;+0:2]=[N;+0:3],1,111
111,[c;+0:1]-[N;+0:3]-[c;+0:4]:[c;+0:5]:[c;+0:6]-[O;+0:2]>>Cl-[c;+0:1].[O;+0:2]-[N;+0:3]-[c;+0:4]:[c;+0:5]:[c;+0:6],1,112
112,[C;+0:1]=[O;+0:2]>>C-C(-C)=[C;+0:1].[O-]-[O+]=[O;+0:2],1,113
113,[C;+0:1]-[O;+0:2]>>C-[C;+0:1](-C)(-C)-[Si](-C)(-C)-Cl.[O;+0:2],1,114
114,[C;+0:1]-[C;+0:2]=[O;+0:3]>>C-C-N(-C-C)-[C;+0:1]=O.[C;+0:2].C1-C-C-[O;+0:3]-C-1,1,115
115,[O;+0:1]-[C;+0:3]-[C;+0:2]-[C;+0:7]-[C;+0:6]-[C;+0:5]-[O;+0:4]>>C1-C-C-[O;+0:1]-C-1.[C;+0:2]1-[C;+0:3]-[O;+0:4]-[C;+0:5]-[C;+0:6]-[C;+0:7]-1,1,116
116,[O;+0:1]=[S;+0:3]-[c;+0:2]>>C-C-[O;-1:1].Cl-[c;+0:2].[S;+0:3],1,117
117,[C;+0:1]-[N;+0:2]>>N-C(=O)-c1:c:c:c(-N2-C-C-N(-[C;+0:1])-C-C-2):c:c:1.[N;+0:2],1,118
118,[Br;+0:1]-[c;+0:2]>>Cl-S(=O)(=O)-c1:c:c:c(-O-c2:c:c:c(-[Br;+0:1]):c:c:2):c:c:1.[c;+0:2],1,119
119,[O;+0:3]=[S;+0:2]-[c;+0:1]>>C-C(-C)(-C)-[c;+0:1].O=[S;+0:2]-[O;+0:3],1,120
120,[c;+0:2]-[c;+0:1]>>C-C-C-C-[Sn](-[c;+0:1])(-C-C-C-C)-C-C-C-C.N-[c;+0:2],1,121
121,[C;+0:1]-[N;+0:2]>>I-[C;+0:1].O-[N;+0:2],1,122
122,[Cl;+0:1]-[c;+0:2]>>C-C-O-C(=O)-C(-C)-c1:n:c:c:n:c:1-c1:c:c:c(-[Cl;+0:1]):c:c:1.O-[c;+0:2],1,123
123,[N;+0:3]-[C;+0:2]=[O;+0:1]>>C-C(-C)-C(=[O;+0:1])-C#N.[C;+0:2]#[N;+0:3],1,124
124,[C;+0:1]-[S;+0:2]>>[C;+0:1]-[n+]1:c:c:c:c:c:1.[S;+0:2],1,125
125,[C;+0:1]-[C;+0:2]>>C-c1:c:c:c:c:c:1-S(=O)(=O)-O-[C;+0:1].O-[C;+0:2](=O)-[O-],1,126
126,[C;+0:1]-[N;+0:2]>>Br-[C;+0:1].Br-c1:c:n:c(-Cl):c(-C-[N;+0:2]):c:1,1,127
127,[C;+0:1]-[C;+0:2]>>N#[C;+0:1]-C-C-C-C-[Zn+].[C;+0:2],1,128
128,[C;+0:1]=[C;+0:3]=[C;+0:2]>>C-C(-C)-N-[C;+0:1](-C)-C.[C;+0:2]#[C;+0:3],1,129
129,[C;+0:2]-[O;-1:1]>>O-C-C(-O)-C(-O)-C(-O)-C=[O;+0:1].[C;+0:2],1,130
130,[n;+0:2]:[c;+0:1]=[S;+0:3]>>Cl-[c;+0:1]:[n;+1:2].[S;-1:3],1,131
131,[C;+0:1]#[C;+0:2]-[C;+0:3]-[O;+0:4]-[c;+0:5]:[c;+0:6]>>[O-]-[n+]1:c:c:c:c:c:1-[C;+0:1]1=[C;+0:2]-[C;+0:3]-[O;+0:4]-[c;+0:5]:[c;+0:6]-1,1,132
132,[O;+0:1]-[C;+0:2]-[c;+0:3]:[c;+0:4]-[N;+0:5]>>O=C1-[O;+0:1]-[C;+0:2]-[c;+0:3]:[c;+0:4]-1.[N;+0:5],1,133
133,[O;+0:2]-[C;+0:1]-[n;+0:3]:[n;+0:4]>>[C;+0:1]=[O;+0:2].[n;+0:3]:[n;+0:4],1,134
134,[O;+0:1]-[c;+0:2]>>O=C-c1:c:c:c(-[O;+0:1]):c:c:1.[c;+0:2],1,135
135,[O;+0:1]=[c;+0:2]:[n;+0:3]>>C-C-C-O-C1-C(-C-O)-O-C(-n2:c:n:c3:c(-N):n:c(-N):n:c:3:2)-C-1-[O;+0:1].N-[c;+0:2]:[n;+0:3],1,136
136,[N;+0:2]-[C;+0:1]=[O;+0:3]>>C-[C;+0:1].[N;+1:2].[O;-1:3],1,137
137,[C;+0:1]-[N;+0:3]-[C;+0:2]>>[C;+0:1]-C-C1=N-C-C-C-N-1-[C;+0:2].[N;+0:3],1,138
138,[N;+0:6]-[C;+0:1]-[C;+0:2]-[c;+0:3](:[n;+0:4]):[n;+0:5]>>O-[C;+0:1]-[C;+0:2]-[c;+0:3](:[n;+0:4]):[n;+0:5].[N;+0:6],1,139
139,[C;+0:1]-[C;+0:2]-[C;+0:3]>>C-[N+](-C)(-C)-[C;+0:1].O-[C;+0:2].[C;+0:3]-[K],1,140
140,[C;+0:1]-[O;+0:2]>>N#C-C(-N-O-[C;+0:1])-c1:c:c:c:c:c:1.[O;+0:2],1,141
141,[C;+0:2]=[O;+0:1]>>C-C(=O)-[O;-1:1].N=[C;+0:2],1,142
142,[C;+0:2]-[C;+0:1]-[N;+0:4]-[C;+0:3]>>O-[C;+0:1]-[C;+0:2]-[C;+0:3].[N;+0:4],1,143
143,[C;+0:1]-[C;+0:2]>>C-O-[C;+0:1].O-[C;+0:2],1,144
144,[O;+0:1]-[C;+0:3]-[C;+0:4]-[S;+0:2]>>Cl-S(-Cl)=[O;+0:1].O=[S;+0:2]-[C;+0:3]-[C;+0:4],1,145
145,[S;+0:1]-[N;+0:3]-[C;+0:2]>>C-[S;+0:1]-Cl.Cl-[C;+0:2]-Cl.[N;+0:3],1,146
146,[O;+0:1]=[c;+0:2]:[n;+0:3]>>C-O-C(=O)-C-[O;+0:1]-[c;+0:2]:[n;+0:3],1,147
147,[O;-1:4]-[C;+0:3]-[C;+0:2]-[C;+0:1]-[N;+0:5]>>[C;+0:1]=[C;+0:2].[C;+0:3]=[O;+0:4].[N;-1:5],1,148
148,[C;+0:1]-[S;+0:2]-[c;+0:3]:[s;+1:4]>>C-O-S(=O)(=O)-O-[C;+0:1].[S;+0:2]=[c;+0:3]:[s;+0:4],1,149
149,[C;+0:2]-[O;+0:1]>>C-C(=O)-[O;+0:1].O=N-N(-[C;+0:2])-C-c1:c:c:c:c:c:1,1,150
150,[C;+0:1]=[O;+0:2]>>C-S-[C;+0:1]-S(=O)(=O)-c1:c:c:c:c:c:1.C-[O;+0:2],1,151
151,[C;+0:3]-[C;+0:2]=[O;+0:1]>>C-C(-C)(-C)-[O;+0:1]-[C;+0:2]=O.C-C-O-C(=O)-[C;+0:3],1,152
152,[C;+0:2]-[O;+0:3]-[C;+0:1]>>[C;+0:1].[C;+0:2].[O-]-S(-[O-])=[O;+0:3],1,153
153,[Cl;+0:2].[S;+0:1]=[c;+0:3]:[n;+0:4]>>N-C(-N)=[S;+0:1].[Cl;+0:2]-[c;+0:3]:[n;+0:4],1,154
154,[O;+0:2]-[C;+0:1]-[n;+0:3]>>Br-[C;+0:1]-Br.[O;+0:2].[n;+0:3],1,155
155,[C;+0:1]-[c;+0:2]>>C-O-C1-C-C(-c2:c:c:c(-[C;+0:1]):c:c:2)-C(-O-C)-O-1.[c;+0:2],1,156
156,[C;+0:2]-[C;+0:1](-[O;+0:4])-[O;+0:3]>>[C;+0:1]#[C;+0:2].[O;+0:3].[O;-1:4],1,157
157,[C;+0:1]-[C;+0:3]-[C;+0:2]>>O=C(-[C;+0:1])-[C;+0:2].O=[C;+0:3]-O-C-c1:c:c:c:c:c:1,1,158
158,[O;+0:3]-[C;+0:4]-[c;+0:5]:[c;+0:6]-[C;+0:2]-[O;+0:1]>>O=C1-O-C(=[O;+0:1])-c2:c:c:c3:c:c:c:c:c:3:c:2-1.[C;+0:2]1-[O;+0:3]-[C;+0:4]-[c;+0:5]:[c;+0:6]-1,1,159
159,[C;+0:2]-[N;+0:3]-[C;+0:1]>>C-C(=O)-[C;+0:1].O=C-[C;+0:2].[N;+0:3],1,160
160,[F;+0:1]-[c;+0:2]>>Cl-c1:c:c(-[F;+0:1]):c:c(-c2:s:c(-C(-O)=O):c:c:2-c2:c:c:c(-F):c(-C#N):c:2):c:1.[c;+0:2],1,161
161,[C;+0:2]-[c;+0:1]>>Br-[c;+0:1].C-O-[C;+0:2](-C)(-C)-C,1,162
162,[C;+0:3]-[C;+0:2]=[O;+0:1]>>C-C(=O)-[O;+0:1].Cl-[C;+0:2]=[C;+0:3],1,163
163,[N;+0:1]-[C;+0:7]-[C;+0:6]-[C;+0:5]-[n;+0:4]:[c;+0:3](=[O;+0:8]):[n;+0:2]>>[N;+0:1].[n;+0:2]:[c;+0:3]1:[n;+0:4]-[C;+0:5]-[C;+0:6]-[C;+0:7]-[O;+0:8]-1,1,164
164,[Cl;+0:1]-[S;+0:2]>>Cl-C(=O)-[Cl;+0:1].O-[S;+0:2],1,165
165,[S;+0:1]-[C;+0:2]>>Cl-[S;+0:1].[C;+0:2]-[Li],1,166
166,[O;+0:1]=[C;+0:2]-[C;+0:3]>>C-C-[O;+0:1].N-[C;+0:2]=[C;+0:3],1,167
167,[N;+0:2]-[C;+0:1]-[O;+0:3]>>C-C-O-[C;+0:1](=O)-O-C-C.[N;+0:2].[O;+0:3],1,168
168,[C;+0:1]-[N;+0:2]>>Br-[C;+0:1].[N;+0:2]-[Na],1,169
169,[c;+0:1]-[O;+0:2]>>Cl-[c;+0:1].[O;+0:2]-c1:n:c:c:c2:c:c:[nH]:c:1:2,1,170
