,Smiles_template,Smarts_template,edit_site,change_H
21,C1=CCCCC1>>[C;+0:1]=[C;+0:2].[C;+0:3]=[C;+0:4]-[C;+0:5]=[C;+0:6],[C;+0:1]1-[C;+0:2]-[C;+0:3]-[C;+0:4]=[C;+0:5]-[C;+0:6]-1>>[C;+0:1]=[C;+0:2].[C;+0:3]=[C;+0:4]-[C;+0:5]=[C;+0:6],"[(1, 6), (2, 3)]","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}"
22,C=C>>O=[C;+0:1].[C;+0:2]=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,[C;+0:2]=[C;+0:1]>>O=[C;+0:1].[C;+0:2]=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,"[(1, 2)]","{1: 0, 2: 0}"
23,CN>>Cl-[c;+0:1].[N;+0:2],[c;+0:1]-[N;+0:2]>>Cl-[c;+0:1].[N;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
24,CS>>Br-[C;+0:1].[S;+0:2],[C;+0:1]-[S;+0:2]>>Br-[C;+0:1].[S;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
25,NS>>Cl-[S;+0:1].[N;+0:2],[S;+0:1]-[N;+0:2]>>Cl-[S;+0:1].[N;+0:2],"[(2, 1)]","{1: 0, 2: 1}"
26,CO>>Cl-[C;+0:1].[O;+0:2],[C;+0:1]-[O;+0:2]>>Cl-[C;+0:1].[O;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
27,CN>>C-C(-C)(-C)-O-C(=O)-O-[C;+0:1].[N;+0:2],[C;+0:1]-[N;+0:2]>>C-C(-C)(-C)-O-C(=O)-O-[C;+0:1].[N;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
28,CC>>I-[c;+0:1].O-B(-O)-[c;+0:2],[c;+0:1]-[c;+0:2]>>I-[c;+0:1].O-B(-O)-[c;+0:2],"[(1, 2)]","{1: 0, 2: 0}"
29,CCO>>[C;+0:1].[C;+0:2]=[O;+0:3],[C;+0:1]-[C;+0:2]-[O;+0:3]>>[C;+0:1].[C;+0:2]=[O;+0:3],"[(1, 2)]","{2: 0, 3: -1, 1: 1}"
30,N>>O=[N;+1:1]-[O-],[N;+0:1]>>O=[N;+1:1]-[O-],[1],{1: -2}
31,CN>>C-C-O-[C;+0:1].[N;+0:2],[C;+0:1]-[N;+0:2]>>C-C-O-[C;+0:1].[N;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
32,CC>>Cl-[c;+0:1].O-B(-O)-[c;+0:2],[c;+0:2]-[c;+0:1]>>Cl-[c;+0:1].O-B(-O)-[c;+0:2],"[(1, 2)]","{1: 0, 2: 0}"
33,CBr>>O=C1-C-C-C(=O)-N-1-[Br;+0:1].[C;+0:2],[Br;+0:1]-[C;+0:2]>>O=C1-C-C-C(=O)-N-1-[Br;+0:1].[C;+0:2],"[(2, 1)]","{1: 0, 2: 1}"
34,CC>>F-C(-F)(-F)-S(=O)(=O)-O-[C;+0:1].O-B(-O)-[c;+0:2],[C;+0:1]-[c;+0:2]>>F-C(-F)(-F)-S(=O)(=O)-O-[C;+0:1].O-B(-O)-[c;+0:2],"[(1, 2)]","{1: 0, 2: 0}"
35,CN>>F-C(-F)(-F)-C-O-[C;+0:1].[N;+0:2],[C;+0:1]-[N;+0:2]>>F-C(-F)(-F)-C-O-[C;+0:1].[N;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
36,CN>>F-[c;+0:1].[N;+1:2],[c;+0:1]-[N;+0:2]>>F-[c;+0:1].[N;+1:2],"[(1, 2)]","{1: 0, 2: 2}"
37,O>>C-C-[O;+0:1],[O;+0:1]>>C-C-[O;+0:1],[1],{1: -1}
38,CN>>C-O-[C;+0:1].[N;+0:2],[C;+0:1]-[N;+0:2]>>C-O-[C;+0:1].[N;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
39,CC>>[C;+0:1]=[C;+0:2],[C;+0:1]-[C;+0:2]>>[C;+0:1]=[C;+0:2],"[(1, 2)]","{1: -1, 2: -1}"
40,N>>C-C(-C)(-C)-O-C(=O)-[N;+0:1],[N;+0:1]>>C-C(-C)(-C)-O-C(=O)-[N;+0:1],[1],{1: -1}
41,CN>>Br-[C;+0:1].[n;+0:2],[C;+0:1]-[n;+0:2]>>Br-[C;+0:1].[n;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
42,CCO>>[C;+0:1]=[C;+0:2].[O;+0:3],[C;+0:1]-[C;+0:2]-[O;+0:3]>>[C;+0:1]=[C;+0:2].[O;+0:3],"[(2, 3)]","{2: 0, 1: -1, 3: 1}"
43,CO>>C-O-[C;+0:1]=[O;+0:2],[C;+0:1]-[O;+0:2]>>C-O-[C;+0:1]=[O;+0:2],"[(1, 2)]","{1: -2, 2: -1}"
44,CN>>Cl-[C;+0:1].[n;+0:2],[C;+0:1]-[n;+0:2]>>Cl-[C;+0:1].[n;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
45,CI>>I-C-[I;+0:1].N-[c;+0:2],[I;+0:1]-[c;+0:2]>>I-C-[I;+0:1].N-[c;+0:2],"[(2, 1)]","{1: 0, 2: 0}"
46,O>>C-C(-C)(-C)-[Si](-C)(-C)-[O;+0:1],[O;+0:1]>>C-C(-C)(-C)-[Si](-C)(-C)-[O;+0:1],[1],{1: -1}
47,N>>O=[N;+0:1],[N;+0:1]>>O=[N;+0:1],[1],{1: -2}
48,CC>>Br-[c;+0:1].[C;+0:2],[c;+0:1]-[C;+0:2]>>Br-[c;+0:1].[C;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
49,CN>>C-C(=O)-O-[C;+0:1].[N;+0:2],[C;+0:1]-[N;+0:2]>>C-C(=O)-O-[C;+0:1].[N;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
50,CO>>O-[C;+0:1].[O;+0:2],[C;+0:1]-[O;+0:2]>>O-[C;+0:1].[O;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
51,CC>>Br-[c;+0:1].I-[C;+0:2],[c;+0:1]-[C;+0:2]>>Br-[c;+0:1].I-[C;+0:2],"[(1, 2)]","{1: 0, 2: 0}"
52,CCN>>O=[C;+0:1].[N;+0:2].[c;+0:3],[N;+0:2]-[C;+0:1]-[c;+0:3]>>O=[C;+0:1].[N;+0:2].[c;+0:3],"[(1, 2), (1, 3)]","{1: 0, 2: 1, 3: 1}"
53,CO>>Br-[c;+0:1].[O;+0:2],[c;+0:1]-[O;+0:2]>>Br-[c;+0:1].[O;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
54,O>>C-C(=O)-[O;+0:1],[O;+0:1]>>C-C(=O)-[O;+0:1],[1],{1: -1}
55,CO>>F-[c;+0:1].[O;+0:2],[c;+0:1]-[O;+0:2]>>F-[c;+0:1].[O;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
56,C=C>>O=[C;+0:1].[C;+0:2]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,[C;+0:2]=[C;+0:1]>>O=[C;+0:1].[C;+0:2]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,"[(1, 2)]","{1: 0, 2: 1}"
57,CO>>Cl-[c;+0:1].[O;+0:2],[c;+0:1]-[O;+0:2]>>Cl-[c;+0:1].[O;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
58,CN>>Br-[c;+0:1].[n;+0:2],[c;+0:1]-[n;+0:2]>>Br-[c;+0:1].[n;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
59,c1nnco1>>O=[C;+0:1]-[N;+0:2]-[N;+0:3]-[C;+0:4]=[O;+0:5],[c;+0:1]1:[n;+0:2]:[n;+0:3]:[c;+0:4]:[o;+0:5]:1>>O=[C;+0:1]-[N;+0:2]-[N;+0:3]-[C;+0:4]=[O;+0:5],"[(1, 5)]","{5: 0, 4: 0, 3: 1, 2: 1, 1: 0}"
60,CC>>C-C-C-C-[Sn](-[C;+0:1])(-C-C-C-C)-C-C-C-C.Cl-[c;+0:2],[C;+0:1]-[c;+0:2]>>C-C-C-C-[Sn](-[C;+0:1])(-C-C-C-C)-C-C-C-C.Cl-[c;+0:2],"[(1, 2)]","{1: 0, 2: 0}"
61,C>>O-[C;+0:1],[C;+0:1]>>O-[C;+0:1],[1],{1: -1}
62,c1cscn1>>Br-[C;+0:1]-[C;+0:2]=O.[N;+0:3]-[C;+0:4]=[S;+0:5],[c;+0:1]1:[c;+0:2]:[n;+0:3]:[c;+0:4]:[s;+0:5]:1>>Br-[C;+0:1]-[C;+0:2]=O.[N;+0:3]-[C;+0:4]=[S;+0:5],"[(2, 3), (1, 5)]","{2: 0, 1: 1, 5: 0, 4: 0, 3: 2}"
63,COC>>O-[C;+0:1].[C;+0:2]-[O;+0:3],[C;+0:1]-[O;+0:3]-[C;+0:2]>>O-[C;+0:1].[C;+0:2]-[O;+0:3],"[(1, 3)]","{1: 0, 3: 1, 2: 0}"
64,C>>O=[C;+0:1],[C;+0:1]>>O=[C;+0:1],[1],{1: -2}
65,CS>>Br-[c;+0:1].[S;+0:2],[c;+0:1]-[S;+0:2]>>Br-[c;+0:1].[S;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
66,N>>C-C(=O)-[N;+0:1],[N;+0:1]>>C-C(=O)-[N;+0:1],[1],{1: -1}
67,CC>>Br-[c;+0:1].C-N(-C)-[C;+0:2],[C;+0:2]-[c;+0:1]>>Br-[c;+0:1].C-N(-C)-[C;+0:2],"[(1, 2)]","{1: 0, 2: 0}"
68,CC>>[c;+0:1]:[c;+0:2],[C;+0:1]-[C;+0:2]>>[c;+0:1]:[c;+0:2],"[(1, 2)]","{2: -1, 1: -1}"
69,CNC>>O-[C;+0:1].[C;+0:2]-[N;+0:3],[C;+0:1]-[N;+0:3]-[C;+0:2]>>O-[C;+0:1].[C;+0:2]-[N;+0:3],"[(1, 3)]","{1: 0, 3: 1, 2: 0}"
70,C>>C-O-C(=O)-[C;+0:1],[C;+0:1]>>C-O-C(=O)-[C;+0:1],[1],{1: -1}
71,[NH]:C:[NH]>>O-[C;+0:1]=O.[N;+0:2].[N;+0:3],[n;+0:2]:[c;+0:1]:[n;+0:3]>>O-[C;+0:1]=O.[N;+0:2].[N;+0:3],"[(1, 2), (1, 3)]","{1: 0, 2: 1, 3: 2}"
72,CO>>O-[C@@;+0:1].[O;+0:2],[C;+0:1]-[O;+0:2]>>O-[C@@;+0:1].[O;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
73,CN>>C-S(=O)(=O)-O-[C;+0:1].[n;+0:2],[C;+0:1]-[n;+0:2]>>C-S(=O)(=O)-O-[C;+0:1].[n;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
74,C=N>>O=[C;+0:1].[N;+0:2],[C;+0:1]=[N;+0:2]>>O=[C;+0:1].[N;+0:2],"[(1, 2)]","{1: 0, 2: 2}"
75,CC>>Br-[c;+0:1].C-C1(-C)-C-O-B(-[c;+0:2])-O-C-1,[c;+0:2]-[c;+0:1]>>Br-[c;+0:1].C-C1(-C)-C-O-B(-[c;+0:2])-O-C-1,"[(1, 2)]","{1: 0, 2: 0}"
76,CCO>>[C;+0:1]=[O;+0:2].[Mg+]-[c;+0:3],[O;+0:2]-[C;+0:1]-[c;+0:3]>>[C;+0:1]=[O;+0:2].[Mg+]-[c;+0:3],"[(1, 3)]","{3: 0, 1: 0, 2: -1}"
77,CN>>[C;+0:1]=[N;+0:2],[C;+0:1]-[N;+0:2]>>[C;+0:1]=[N;+0:2],"[(1, 2)]","{2: -1, 1: -1}"
78,N>>O=C1-[N;+0:1]-C(=O)-c2:c:c:c:c:c:2-1,[N;+0:1]>>O=C1-[N;+0:1]-C(=O)-c2:c:c:c:c:c:2-1,[1],{1: -2}
79,C=O>>[C@;+0:1]-[O;+0:2],[C;+0:1]=[O;+0:2]>>[C@;+0:1]-[O;+0:2],"[(1, 2)]","{1: 1, 2: 1}"
80,O=S>>Cl-c1:c:c:c:c(-C(=O)-O-[O;+0:1]):c:1.[S;+0:2],[O;+0:1]=[S;+0:2]>>Cl-c1:c:c:c:c(-C(=O)-O-[O;+0:1]):c:1.[S;+0:2],"[(1, 2)]","{1: 1, 2: 0}"
81,C>>Br-[c;+0:1],[c;+0:1]>>Br-[c;+0:1],[1],{1: -1}
82,C1CO1>>Cl-c1:c:c:c:c(-C(=O)-O-[O;+0:1]):c:1.[C;+0:2]=[C;+0:3],[C;+0:2]1-[C;+0:3]-[O;+0:1]-1>>Cl-c1:c:c:c:c(-C(=O)-O-[O;+0:1]):c:1.[C;+0:2]=[C;+0:3],"[(2, 1), (3, 1)]","{1: 1, 2: 0, 3: 0}"
83,CS>>Cl-[c;+0:1].[S;+0:2],[c;+0:1]-[S;+0:2]>>Cl-[c;+0:1].[S;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
84,C[SH]=O>>Br-[c;+0:1].[O;-1:2]-[S;+0:3],[c;+0:1]-[S;+0:3]=[O;+0:2]>>Br-[c;+0:1].[O;-1:2]-[S;+0:3],"[(1, 3)]","{1: 0, 3: 0, 2: 0}"
85,C=O>>[C;+0:1]-[O;+0:2],[C;+0:1]=[O;+0:2]>>[C;+0:1]-[O;+0:2],"[(1, 2)]","{1: 1, 2: 1}"
86,CN>>C-C(-C)(-C)-O-[C;+0:1].[N;+0:2],[C;+0:1]-[N;+0:2]>>C-C(-C)(-C)-O-[C;+0:1].[N;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
87,C[SnH]>>Br-[c;+0:1].[Sn;+0:2],[c;+0:1]-[Sn;+0:2]>>Br-[c;+0:1].[Sn;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
88,[NH]:C:N:[NH]>>O=[C;+0:1].[N;+0:2]-[N;+0:3].[n;+0:4],[n;+0:2]:[n;+0:3]:[c;+0:1]:[n;+0:4]>>O=[C;+0:1].[N;+0:2]-[N;+0:3].[n;+0:4],"[(1, 3), (1, 4)]","{1: 1, 3: 2, 2: 1, 4: 0}"
89,CO>>C-C-O-[C;+0:1]=[O;+0:2],[C;+0:1]-[O;+0:2]>>C-C-O-[C;+0:1]=[O;+0:2],"[(1, 2)]","{1: -2, 2: -1}"
90,CN>>[C;+0:1]#[N;+0:2],[C;+0:1]-[N;+0:2]>>[C;+0:1]#[N;+0:2],"[(1, 2)]","{1: -2, 2: -2}"
91,CN>>C-S(=O)(=O)-O-[C;+0:1].[N;-1:2],[C;+0:1]-[N;+0:2]>>C-S(=O)(=O)-O-[C;+0:1].[N;-1:2],"[(1, 2)]","{1: 0, 2: 0}"
92,CN>>C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C(=O)-O-[C;+0:1].[N;+0:2],[C;+0:1]-[N;+0:2]>>C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C(=O)-O-[C;+0:1].[N;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
93,[c;+0:1]1:[n;+0:2]:[n;+0:3]:[n;+0:4]:[n;+0:5]:1>>[C;+0:1]#[N;+0:2].[N;-1:3]=[N;+1:4]=[N;-1:5],[c;+0:1]1:[n;+0:2]:[n;+0:3]:[n;+0:4]:[n;+0:5]:1>>[C;+0:1]#[N;+0:2].[N;-1:3]=[N;+1:4]=[N;-1:5],"[(1, 5), (2, 3)]","{1: 0, 2: 0, 3: 0, 4: 0, 5: -1}"
94,CCN>>[C;+0:1]-[C;+0:2]#[N;+0:3],[C;+0:1]-[C;+0:2]-[N;+0:3]>>[C;+0:1]-[C;+0:2]#[N;+0:3],"[(2, 3)]","{1: 0, 2: -2, 3: -2}"
95,CN>>C-S(=O)(=O)-O-[C;+0:1].[N;+0:2],[C;+0:1]-[N;+0:2]>>C-S(=O)(=O)-O-[C;+0:1].[N;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
96,CC>>C-C-C-C-[Sn](-[C;+0:1])(-C-C-C-C)-C-C-C-C.F-C(-F)(-F)-S(=O)(=O)-O-[c;+0:2],[C;+0:1]-[c;+0:2]>>C-C-C-C-[Sn](-[C;+0:1])(-C-C-C-C)-C-C-C-C.F-C(-F)(-F)-S(=O)(=O)-O-[c;+0:2],"[(1, 2)]","{1: 0, 2: 0}"
97,CC>>Br-[c;+0:1].C-C-C-C-[Sn](-[C;+0:2])(-C-C-C-C)-C-C-C-C,[C;+0:2]-[c;+0:1]>>Br-[c;+0:1].C-C-C-C-[Sn](-[C;+0:2])(-C-C-C-C)-C-C-C-C,"[(1, 2)]","{1: 0, 2: 0}"
98,CS>>Cl-[C;+0:1].[S;+0:2],[C;+0:1]-[S;+0:2]>>Cl-[C;+0:1].[S;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
99,C>>Cl-[c;+0:1],[c;+0:1]>>Cl-[c;+0:1],[1],{1: -1}
100,CN>>O-B(-O)-[c;+0:1].[n;+0:2],[c;+0:1]-[n;+0:2]>>O-B(-O)-[c;+0:1].[n;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
101,CC>>Br-[C;+0:1].[C;-1:2],[C;+0:1]-[C;+0:2]>>Br-[C;+0:1].[C;-1:2],"[(1, 2)]","{1: 0, 2: 0}"
102,CN>>O-[C;+0:1].[N;+1:2],[C;+0:1]-[N;+0:2]>>O-[C;+0:1].[N;+1:2],"[(1, 2)]","{1: 0, 2: 2}"
103,C=C>>C-C-O-P(=O)(-[C;+0:1])-O-C-C.O=[C;+0:2],[C;+0:1]=[C;+0:2]>>C-C-O-P(=O)(-[C;+0:1])-O-C-C.O=[C;+0:2],"[(1, 2)]","{1: 1, 2: 0}"
104,CCl>>Cl-C(-Cl)(-Cl)-[Cl;+0:1].O-[c;+0:2],[Cl;+0:1]-[c;+0:2]>>Cl-C(-Cl)(-Cl)-[Cl;+0:1].O-[c;+0:2],"[(2, 1)]","{1: 0, 2: 0}"
105,C=O>>C-O-[C;+0:1]-[O;+0:2]-C,[C;+0:1]=[O;+0:2]>>C-O-[C;+0:1]-[O;+0:2]-C,"[(1, 2)]","{2: 0, 1: 0}"
106,[c;+0:1]1:[c;+0:2]:[c;+0:3]:[n;+0:5]:[n;+0:4]:1>>O=[C;+0:1]-[C;+0:2]-[C;+0:3]=O.[N;+0:4]-[N;+0:5],[c;+0:1]1:[c;+0:2]:[c;+0:3]:[n;+0:5]:[n;+0:4]:1>>O=[C;+0:1]-[C;+0:2]-[C;+0:3]=O.[N;+0:4]-[N;+0:5],"[(3, 5), (1, 4)]","{3: 0, 2: 1, 1: 0, 4: 2, 5: 1}"
107,CN>>F-C(-F)(-F)-C(=O)-O-[C;+0:1].[N;+0:2],[C;+0:1]-[N;+0:2]>>F-C(-F)(-F)-C(=O)-O-[C;+0:1].[N;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
108,CN>>C-C(-C)(-C)-O-C(=O)-O-[C;+0:1].[N;+1:2],[C;+0:1]-[N;+0:2]>>C-C(-C)(-C)-O-C(=O)-O-[C;+0:1].[N;+1:2],"[(1, 2)]","{1: 0, 2: 2}"
109,CN>>C-C(-C)-C-O-[C;+0:1].[N;+0:2],[C;+0:1]-[N;+0:2]>>C-C(-C)-C-O-[C;+0:1].[N;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
110,CN>>Cl-[c;+0:1].[n;+0:2],[c;+0:1]-[n;+0:2]>>Cl-[c;+0:1].[n;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
111,CC>>Cl-[c;+0:1].[C;+0:2]-[Cu],[c;+0:1]-[C;+0:2]>>Cl-[c;+0:1].[C;+0:2]-[Cu],"[(1, 2)]","{1: 0, 2: 0}"
112,O>>[O;+0:1]-C-c1:c:c:c:c:c:1,[O;+0:1]>>[O;+0:1]-C-c1:c:c:c:c:c:1,[1],{1: -1}
113,CC>>I-[c;+0:1].[C;+0:2],[c;+0:1]-[C;+0:2]>>I-[c;+0:1].[C;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
114,CC>>C-C1(-C)-O-B(-[c;+0:1])-O-C-1(-C)-C.Cl-[c;+0:2],[c;+0:1]-[c;+0:2]>>C-C1(-C)-O-B(-[c;+0:1])-O-C-1(-C)-C.Cl-[c;+0:2],"[(1, 2)]","{1: 0, 2: 0}"
115,CO>>I-[C;+0:1].[O;+0:2],[C;+0:1]-[O;+0:2]>>I-[C;+0:1].[O;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
116,O=S>>O=S(-[O-])-O-[O;+0:1].[S;+0:2],[O;+0:1]=[S;+0:2]>>O=S(-[O-])-O-[O;+0:1].[S;+0:2],"[(1, 2)]","{1: 1, 2: 0}"
117,CC>>C-C1(-C)-O-B(-[c;+0:1])-O-C-1(-C)-C.I-[c;+0:2],[c;+0:2]-[c;+0:1]>>C-C1(-C)-O-B(-[c;+0:1])-O-C-1(-C)-C.I-[c;+0:2],"[(1, 2)]","{1: 0, 2: 0}"
118,[c;+0:1]1:[c;+0:2]:[c;+0:3]:[n;+0:4]:[n;+0:5]:1>>O=[C;+0:1]-[C;+0:2]-[C;+0:3]=O.[N;+0:4]-[N;+0:5],[c;+0:1]1:[c;+0:2]:[c;+0:3]:[n;+0:4]:[n;+0:5]:1>>O=[C;+0:1]-[C;+0:2]-[C;+0:3]=O.[N;+0:4]-[N;+0:5],"[(1, 5), (3, 4)]","{1: 0, 2: 1, 3: 0, 4: 1, 5: 2}"
119,C[NH3+]>>Br-[C;+0:1].[N;+0:2],[C;+0:1]-[N;+1:2]>>Br-[C;+0:1].[N;+0:2],"[(1, 2)]","{1: 0, 2: 0}"
120,C>>Cl-[C;+0:1],[C;+0:1]>>Cl-[C;+0:1],[1],{1: -1}
121,CO>>Cl-[C@;+0:1].[O;+0:2],[C;+0:1]-[O;+0:2]>>Cl-[C@;+0:1].[O;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
122,CC>>Br-[c;+0:1].C-C-C-C-[Sn](-[c;+0:2])(-C-C-C-C)-C-C-C-C,[c;+0:2]-[c;+0:1]>>Br-[c;+0:1].C-C-C-C-[Sn](-[c;+0:2])(-C-C-C-C)-C-C-C-C,"[(1, 2)]","{1: 0, 2: 0}"
123,CCN>>O=[C;+0:1].[C;-1:2].[N;+0:3],[C;+0:2]-[C;+0:1]-[N;+0:3]>>O=[C;+0:1].[C;-1:2].[N;+0:3],"[(1, 2), (1, 3)]","{1: 0, 2: 0, 3: 1}"
124,CN>>Cl-[C@;+0:1].[N;-1:2],[C;+0:1]-[N;+0:2]>>Cl-[C@;+0:1].[N;-1:2],"[(1, 2)]","{1: 0, 2: 0}"
125,CN>>C-C-C(=O)-O-[C;+0:1].[N;+0:2],[C;+0:1]-[N;+0:2]>>C-C-C(=O)-O-[C;+0:1].[N;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
126,CCN>>O-[C;+0:1]-[C@@;+0:2].[N;+0:3],[C;+0:2]-[C;+0:1]-[N;+0:3]>>O-[C;+0:1]-[C@@;+0:2].[N;+0:3],"[(1, 3)]","{2: 0, 1: 0, 3: 1}"
127,CN>>O=[C;+0:1].[N;+1:2],[C;+0:1]-[N;+0:2]>>O=[C;+0:1].[N;+1:2],"[(1, 2)]","{1: -1, 2: 2}"
128,[CH2]:C:C:[NH]>>N-[N;+0:1].[c;+0:2].O=[C;+0:3]-[C;+0:4],[n;+0:1]:[c;+0:3]:[c;+0:4]:[c;+0:2]>>N-[N;+0:1].[c;+0:2].O=[C;+0:3]-[C;+0:4],"[(3, 1), (2, 4)]","{1: 0, 2: 1, 4: 2, 3: 0}"
129,CC>>Br-[c;+0:1].C-C1-O-B(-[c;+0:2])-O-C-1-C,[c;+0:1]-[c;+0:2]>>Br-[c;+0:1].C-C1-O-B(-[c;+0:2])-O-C-1-C,"[(1, 2)]","{1: 0, 2: 0}"
130,CN>>I-[C;+0:1].[N;+0:2],[C;+0:1]-[N;+0:2]>>I-[C;+0:1].[N;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
