,Template,edit_site,change_H,change_C,change_S,Frequency
26,[O:1]-[C:2]>>[O:1].Cl-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",782
27,[N:1]-[C:2]>>[N:1].C-C(-C)(-C)-O-C(=O)-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",323
28,[c:1]-[c:2]>>I-[c:1].O-B(-O)-[c:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",146
29,[C:1]-[C:2]-[O:3]>>[C:1].[C:2]=[O:3]_10-1_000_000,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 3: -1, 1: 1}","{2: 0, 3: 0, 1: 0}","{2: 0, 3: 0, 1: 0}",48
30,[N:1]>>O=[N:1]-[O-]_-2_1_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -2},{1: 1},{1: 0},1277
31,[N:1]-[C:2]>>[N:1].C-C-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",287
32,[c:1]-[c:2]>>Cl-[c:1].O-B(-O)-[c:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",245
33,[C:1]-[Br:2]>>[C:1].O=C1-C-C-C(=O)-N-1-[Br:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",157
34,[c:1]-[C:2]>>O-B(-O)-[c:1].F-C(-F)(-F)-S(=O)(=O)-O-[C:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",12
35,[N:1]-[C:2]>>[N:1].F-C(-F)(-F)-C-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
36,[N:1]-[c:2]>>[N:1].F-[c:2]_20_10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 2}","{2: 0, 1: 1}","{2: 0, 1: 0}",11
37,[O:1]>>C-C-[O:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},1123
38,[N:1]-[C:2]>>[N:1].C-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",271
39,[C:1]-[C:2]>>[C:1]=[C:2]_-1-1_00_00,"{'A': [], 'B': [], 'C': [(2, 1), (1, 2)], 'R': []}","{2: -1, 1: -1}","{2: 0, 1: 0}","{2: 0, 1: 0}",442
40,[N:1]>>C-C(-C)(-C)-O-C(=O)-[N:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},1493
41,[n:1]-[C:2]>>[n:1].Br-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",457
42,[C:2]-[C:3]-[O:1]>>[O:1].[C:2]=[C:3]_1-10_000_000,"{'A': [], 'B': [(1, 3)], 'C': [], 'R': []}","{3: 0, 2: -1, 1: 1}","{3: 0, 2: 0, 1: 0}","{3: 0, 2: 0, 1: 0}",107
43,[C:1]-[O:2]>>C-O-[C:1]=[O:2]_-2-1_00_00,"{'A': [1], 'B': [], 'C': [], 'R': []}","{1: -2, 2: -1}","{1: 0, 2: 0}","{1: 0, 2: 0}",228
44,[n:1]-[C:2]>>[n:1].Cl-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",307
45,[c:1]-[I:2]>>N-[c:1].I-C-[I:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",10
46,[O:1]>>C-C(-C)(-C)-[Si](-C)(-C)-[O:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},169
47,[N:1]>>O=[N:1]_-2_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -2},{1: 0},{1: 0},13
48,[C:1]-[c:2]>>[C:1].Br-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",265
49,[N:1]-[C:2]>>[N:1].C-C(=O)-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",174
50,[O:1]-[C:2]>>[O:1].O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",804
51,[c:1]-[C:2]>>Br-[c:1].I-[C:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",12
52,[N:1]-[C:3]-[c:2]>>[N:1].[c:2].O=[C:3]_110_000_000,"{'A': [], 'B': [(1, 3), (2, 3)], 'C': [], 'R': []}","{3: 0, 1: 1, 2: 1}","{3: 0, 1: 0, 2: 0}","{3: 0, 1: 0, 2: 0}",37
53,[O:1]-[c:2]>>[O:1].Br-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",94
54,[O:1]>>C-C(=O)-[O:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},154
55,[O:1]-[c:2]>>[O:1].F-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",235
56,[C:1]=[C:2]>>O=[C:1].[C:2]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1_01_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 1}","{1: 0, 2: 0}","{1: 0, 2: 0}",142
57,[O:1]-[c:2]>>[O:1].Cl-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",452
58,[n:1]-[c:2]>>[n:1].Br-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",86
59,[c:4]1:[n:3]:[n:2]:[c:1]:[o:5]:1>>O=[C:1]-[N:2]-[N:3]-[C:4]=[O:5]_01100_00000_00000,"{'A': [], 'B': [(1, 5)], 'C': [(4, 3), (3, 4), (3, 2), (2, 3)], 'R': []}","{5: 0, 4: 0, 3: 1, 2: 1, 1: 0}","{5: 0, 4: 0, 3: 0, 2: 0, 1: 0}","{5: 0, 4: 0, 3: 0, 2: 0, 1: 0}",15
60,[c:1]-[C:2]>>Cl-[c:1].C-C-C-C-[Sn](-[C:2])(-C-C-C-C)-C-C-C-C_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",20
61,[C:1]>>O-[C:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},97
62,[c:4]1:[n:3]:[c:2]:[c:1]:[s:5]:1>>Br-[C:1]-[C:2]=O.[N:3]-[C:4]=[S:5]_10200_00000_00000,"{'A': [], 'B': [(2, 3), (1, 5)], 'C': [], 'R': []}","{2: 0, 1: 1, 5: 0, 4: 0, 3: 2}","{2: 0, 1: 0, 5: 0, 4: 0, 3: 0}","{2: 0, 1: 0, 5: 0, 4: 0, 3: 0}",49
63,[C:1]>>O=[C:1]_-2_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -2},{1: 0},{1: 0},433
64,[S:1]-[c:2]>>[S:1].Br-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",41
65,[N:1]>>C-C(=O)-[N:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},115
66,[c:1]-[C:2]>>Br-[c:1].C-N(-C)-[C:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",40
67,[C:1]-[C:2]>>[c:1]:[c:2]_-1-1_00_00,"{'A': [], 'B': [], 'C': [(2, 1), (1, 2)], 'R': []}","{1: -1, 2: -1}","{1: 0, 2: 0}","{1: 0, 2: 0}",48
68,[C:1]>>C-O-C(=O)-[C:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},19
69,[n:1]:[c:3]:[n:2]>>[N:1].[N:2].O-[C:3]=O_120_000_000,"{'A': [], 'B': [(1, 3), (2, 3)], 'C': [], 'R': []}","{3: 0, 1: 1, 2: 2}","{3: 0, 1: 0, 2: 0}","{3: 0, 1: 0, 2: 0}",58
70,[O:1]-[C:2]>>[O:1].O-[C:2]_10_00_01,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 1, 1: 0}",12
71,[n:1]-[C:2]>>[n:1].C-S(=O)(=O)-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",49
72,[N:1]=[C:2]>>[N:1].O=[C:2]_20_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 2}","{2: 0, 1: 0}","{2: 0, 1: 0}",447
73,[c:1]-[c:2]>>Br-[c:1].C-C1(-C)-C-O-B(-[c:2])-O-C-1_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",9
74,[c:1]-[C:2]-[O:3]>>[Mg+]-[c:1].[C:2]=[O:3]_00-1_000_000,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0, 3: -1}","{1: 0, 2: 0, 3: 0}","{1: 0, 2: 0, 3: 0}",30
75,[C:1]-[N:2]>>[C:1]=[N:2]_-1-1_00_00,"{'A': [], 'B': [], 'C': [(2, 1), (1, 2)], 'R': []}","{2: -1, 1: -1}","{2: 0, 1: 0}","{2: 0, 1: 0}",37
76,[N:1]>>O=C1-[N:1]-C(=O)-c2:c:c:c:c:c:2-1_-2_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -2},{1: 0},{1: 0},111
77,[C:1]=[O:2]>>[C:1]-[O:2]_11_00_20,"{'A': [], 'B': [], 'C': [(1, 2), (2, 1)], 'R': []}","{1: 1, 2: 1}","{1: 0, 2: 0}","{1: 2, 2: 0}",13
78,[S:1]=[O:2]>>[S:1].Cl-c1:c:c:c:c(-C(=O)-O-[O:2]):c:1_01_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 1, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",109
79,[c:1]>>Br-[c:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},33
80,[C:1]1-[C:2]-[O:3]-1>>[C:1]=[C:2].Cl-c1:c:c:c:c(-C(=O)-O-[O:3]):c:1_001_000_000,"{'A': [], 'B': [(1, 3), (2, 3)], 'C': [], 'R': []}","{3: 1, 1: 0, 2: 0}","{3: 0, 1: 0, 2: 0}","{3: 0, 1: 0, 2: 0}",30
81,[S:1]-[c:2]>>[S:1].Cl-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",66
82,[c:1]-[S:3]=[O:2]>>Br-[c:1].[O:2]-[S:3]_000_0-10_000,"{'A': [], 'B': [(1, 3)], 'C': [], 'R': []}","{1: 0, 3: 0, 2: 0}","{1: 0, 3: 0, 2: -1}","{1: 0, 3: 0, 2: 0}",9
83,[C:1]=[O:2]>>[C:1]-[O:2]_11_00_00,"{'A': [], 'B': [], 'C': [(1, 2), (2, 1)], 'R': []}","{1: 1, 2: 1}","{1: 0, 2: 0}","{1: 0, 2: 0}",413
84,[N:1]-[C:2]>>[N:1].C-C(-C)(-C)-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",42
85,[Sn:1]-[c:2]>>[Sn:1].Br-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
86,[n:1]:[c:2]:[n:3]:[n:4]>>[n:1].O=[C:2].[N:3]-[N:4]_0121_0000_0000,"{'A': [], 'B': [(2, 3), (1, 2)], 'C': [], 'R': []}","{2: 1, 3: 2, 4: 1, 1: 0}","{2: 0, 3: 0, 4: 0, 1: 0}","{2: 0, 3: 0, 4: 0, 1: 0}",5
87,[C:1]-[O:2]>>C-C-O-[C:1]=[O:2]_-2-1_00_00,"{'A': [1], 'B': [], 'C': [], 'R': []}","{1: -2, 2: -1}","{1: 0, 2: 0}","{1: 0, 2: 0}",196
88,[C:1]-[N:2]>>[C:1]#[N:2]_-2-2_00_00,"{'A': [], 'B': [], 'C': [(1, 2), (2, 1)], 'R': []}","{1: -2, 2: -2}","{1: 0, 2: 0}","{1: 0, 2: 0}",179
89,[N:1]-[C:2]>>[N:1].C-S(=O)(=O)-O-[C:2]_00_-10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: -1}","{2: 0, 1: 0}",24
90,[N:1]-[C:2]>>[N:1].C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C(=O)-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
91,[c:1]1:[n:2]:[n:3]:[n:4]:[n:5]:1>>[C:1]#[N:2].[N:3]=[N:4]=[N:5]_0000-1_00-11-1_00000,"{'A': [], 'B': [(1, 5), (2, 3)], 'C': [], 'R': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: -1}","{1: 0, 2: 0, 3: -1, 4: 1, 5: -1}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0}",29
92,[N:1]-[C:2]>>[N:1].C-S(=O)(=O)-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",119
93,[c:1]-[C:2]>>F-C(-F)(-F)-S(=O)(=O)-O-[c:1].C-C-C-C-[Sn](-[C:2])(-C-C-C-C)-C-C-C-C_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",6
94,[c:1]-[C:2]>>Br-[c:1].C-C-C-C-[Sn](-[C:2])(-C-C-C-C)-C-C-C-C_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",37
95,[S:1]-[C:2]>>[S:1].Cl-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",100
96,[c:1]>>Cl-[c:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},78
97,[n:1]-[c:2]>>[n:1].O-B(-O)-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",46
98,[C:1]-[C:2]>>[C:1].Br-[C:2]_00_-10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: -1}","{2: 0, 1: 0}",30
99,[N:1]-[C:2]>>[N:1].O-[C:2]_20_10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 2}","{2: 0, 1: 1}","{2: 0, 1: 0}",17
100,[C:1]=[C:2]>>O=[C:1].C-C-O-P(=O)(-[C:2])-O-C-C_01_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 1, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",89
101,[c:1]-[Cl:2]>>O-[c:1].Cl-C(-Cl)(-Cl)-[Cl:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
102,[C:1]=[O:2]>>C-O-[C:1]-[O:2]-C_00_00_00,"{'A': [2, 1], 'B': [], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",33
103,[c:4]1:[c:3]:[n:1]:[n:2]:[c:5]:1>>[N:1]-[N:2].O=[C:3]-[C:4]-[C:5]=O_21010_00000_00000,"{'A': [], 'B': [(2, 5), (1, 3)], 'C': [], 'R': []}","{5: 0, 4: 1, 3: 0, 1: 2, 2: 1}","{5: 0, 4: 0, 3: 0, 1: 0, 2: 0}","{5: 0, 4: 0, 3: 0, 1: 0, 2: 0}",4
104,[N:1]-[C:2]>>[N:1].F-C(-F)(-F)-C(=O)-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",76
105,[N:1]-[C:2]>>[N:1].C-C(-C)(-C)-O-C(=O)-O-[C:2]_20_10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 2}","{2: 0, 1: 1}","{2: 0, 1: 0}",3
106,[N:1]-[C:2]>>[N:1].C-C(-C)-C-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
107,[n:1]-[c:2]>>[n:1].Cl-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",91
108,[c:1]-[C:2]>>Cl-[c:1].[C:2]-[Cu]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",3
109,[O:1]>>[O:1]-C-c1:c:c:c:c:c:1_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},385
110,[C:1]-[c:2]>>[C:1].I-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",212
111,[c:1]-[c:2]>>Cl-[c:1].C-C1(-C)-O-B(-[c:2])-O-C-1(-C)-C_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",142
112,[O:1]-[C:2]>>[O:1].I-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",307
113,[S:1]=[O:2]>>[S:1].O=S(-[O-])-O-[O:2]_01_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 1, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",7
114,[c:1]-[c:2]>>I-[c:1].C-C1(-C)-O-B(-[c:2])-O-C-1(-C)-C_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",88
115,[c:3]1:[c:4]:[c:5]:[n:1]:[n:2]:1>>[N:1]-[N:2].O=[C:3]-[C:4]-[C:5]=O_12010_00000_00000,"{'A': [], 'B': [(2, 3), (1, 5)], 'C': [], 'R': []}","{3: 0, 4: 1, 5: 0, 1: 1, 2: 2}","{3: 0, 4: 0, 5: 0, 1: 0, 2: 0}","{3: 0, 4: 0, 5: 0, 1: 0, 2: 0}",27
116,[N:1]-[C:2]>>[N:1].Br-[C:2]_00_-10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: -1}","{2: 0, 1: 0}",77
117,[C:1]>>Cl-[C:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},17
