,Template,Frequency,Class
38,[O:1]>>Cl-C-C(=O)-[O:1]_-1_0_0,2,39
39,[O:1]>>C-C(-C)-C(=O)-[O:1]_-1_0_0,2,40
40,[O:1]>>C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C(=O)-[O:1]_-1_0_0,2,41
41,[O:1]>>C-C-C-C(=O)-[O:1]_-1_0_0,2,42
42,[P:1]>>Cl-[P:1]_-1_0_0,2,43
43,[C:1]>>O-[C:1]_-1_0_2,2,44
44,[O:1].[O:2]>>C-C(-C)(-[O:1])-C(-C)(-C)-[O:2]_-1-1_00_00,2,45
45,[n:1]>>O=C(-[n:1])-c1:c:c:c:c:c:1_-1_0_0,2,46
46,[C:1]>>I-[C:1]_-1_0_1,2,47
47,[S:1]-[O:2]>>Cl-[S:1]=[O:2]_0-1_00_00,2,48
48,[C:1]#[N:2]>>O=[C:1]-[N:2]_11_1-1_00,2,49
49,[O:1].[O:2]>>C-C1(-C)-[C@@H]2-C-[C@@H](-[O:1])-[C@@](-C)(-[O:2])-[C@H]-1-C-2_-1-1_00_00,2,50
50,[Si:1]>>Cl-[Si:1]_-1_0_0,2,51
51,[C:1]-[P:3]=[O:2]>>Cl-[C:1].C-[O:2]-[P:3]_000_000_000,2,52
52,[C:1]>>F-[C:1]_-1_0_0,2,53
53,[S:1]-[O:2]>>Cl-[S:1]=[O:2]_00_01_00,2,54
54,[O:1]>>C-S(=O)(=O)-[O:1]_-1_0_0,2,55
55,[C:1]-[P:3]=[O:2]>>Br-[C:1].C-[O:2]-[P:3]_000_000_000,2,56
56,[C:1]>>C-C(-C)(-C)-O-C(=O)-[C:1]_-1_0_2,2,57
57,[O:3].[c:1]-[C:2]>>[c:1].[C:2]-[O:3]_10-1_000_000,3,58
58,[O:1]>>C-C-[Si](-[O:1])(-C-C)-C-C_-1_0_0,3,59
59,[C:1]>>I-[C:1]_-1_0_0,3,60
60,[C:1]-[P:3]=[O:2]>>Cl-[C:1].C-C-[O:2]-[P:3]_000_000_000,4,61
61,[C:1]-[O:2]>>C-C-C-C-O-[C:1]=[O:2]_-2-1_00_00,4,62
62,[O:1]>>O=C(-[O:1])-c1:c:c:c(-[N+](=O)-[O-]):c:c:1_-1_0_0,5,63
63,[c:1]:[c:3]:[c:4]:[c:5]:[n:2]>>[c:1].[N:2].O-[C:3]-[C:4](-O)-[C:5]-O_12101_00000_00000,5,64
64,[c:1]>>I-[c:1]_-1_0_0,6,65
65,[O:1]-[C:2]>>[O:1]=[C:2]-O-C-c1:c:c:c:c:c:1_-1-2_00_00,6,66
66,[C:1]#[C:2]>>Br-[C:1](-Br)=[C:2]_-11_00_00,7,67
67,[C:1]>>O-[C:1]_-1_0_1,7,68
68,[C:1]=[O:2]>>C1-C-O-[C:1]-[O:2]-C-1_00_00_00,7,69
69,[S:1]>>Cl-[S:1](=O)=O_-1_0_0,7,70
70,[O:1]>>C-[Si](-C)(-C)-[O:1]_-1_0_0,8,71
71,[C:1]-[O:2]>>C-C(-C)(-C)-O-[C:1]=[O:2]_-2-1_00_00,8,72
72,[c:1]>>O-[c:1]_-1_0_0,8,73
73,[O:1]>>C-C(-C)(-C)-C(=O)-[O:1]_-1_0_0,8,74
74,[N:1]-[C:3]-[N:2]>>[N:1].C-[Si](-C)(-C)-[N:2]=[C:3]_1-20_000_000,9,75
75,[C:1]>>C-C(-C)(-C)-O-C(=O)-[C:1]_-1_0_0,10,76
76,[C:1]>>Br-[C:1]_-1_0_0,10,77
77,[c:1]>>F-[c:1]_-1_0_0,10,78
78,[O:1]>>C-C(-C)-[Si](-[O:1])(-C(-C)-C)-C(-C)-C_-1_0_0,12,79
79,[N:1]>>O=[N:1]_-2_0_0,13,80
80,[n:1]>>[n:1]-C-c1:c:c:c:c:c:1_-1_0_0,13,81
81,[C:1]>>C-C-O-C(=O)-[C:1]_-1_0_0,14,82
82,[C:1]-[P:3]=[O:2]>>Br-[C:1].C-C-[O:2]-[P:3]_000_000_000,14,83
83,[N:1]>>[N:1]-C(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1_-1_0_0,14,84
84,[N:1]>>C-C(-C)(-C)-O-C(=O)-[N:1]_-2_-1_0,14,85
85,[n:1]>>C-C(=O)-[n:1]_-1_0_0,15,86
86,[C:1]>>Cl-[C:1]_-1_0_0,17,87
87,[S:1]>>C-C(=O)-[S:1]_-1_0_0,17,88
88,[C:1]>>C-O-C(=O)-[C:1]_-1_0_0,19,89
89,[O:1]>>C-O-c1:c:c:c(-C-[O:1]):c:c:1_-1_0_0,19,90
90,[O:1]>>O=C(-[O:1])-c1:c:c:c:c:c:1_-1_0_0,19,91
91,[N:1]>>O=C(-[N:1])-c1:c:c:c:c:c:1_-1_0_0,20,92
92,[C:1]=[O:2]>>C-C-O-[C:1]-[O:2]-C-C_00_00_00,21,93
93,[n:1]>>C-O-c1:c:c:c(-C-[n:1]):c:c:1_-1_0_0,24,94
94,[n:1]>>[n:1]-C1-C-C-C-C-O-1_-1_0_0,24,95
95,[N:1]>>O=C(-[N:1])-O-C-C1-c2:c:c:c:c:c:2-c2:c:c:c:c:c:2-1_-1_0_0,25,96
96,[N:1]>>C-O-c1:c:c:c(-C-[N:1]):c:c:1_-1_0_0,27,97
97,[n:1]>>C-C(-C)(-C)-O-C(=O)-[n:1]_-1_0_0,30,98
98,[c:1]>>Br-[c:1]_-1_0_0,33,99
99,[C:1]=[O:2]>>C-O-[C:1]-[O:2]-C_00_00_00,33,100
100,[O:1]>>C-O-C-[O:1]_-1_0_0,33,101
101,[C:1]>>C-[Si](-C)(-C)-[C:1]_-1_0_0,52,102
102,[O:1]>>[O:1]-C1-C-C-C-C-O-1_-1_0_0,53,103
103,[N:1]>>F-C(-F)(-F)-C(=O)-[N:1]_-1_0_0,59,104
104,[C:1]#[N:2]>>O=[C:1]-[N:2]_02_00_00,77,105
105,[c:1]>>Cl-[c:1]_-1_0_0,78,106
106,[O:1]=[C:2]>>C1-C-[O:1]-[C:2]-O-1_00_00_00,90,107
107,[C:1]>>O-[C:1]_-1_0_0,97,108
108,[N:1]>>O=C1-[N:1]-C(=O)-c2:c:c:c:c:c:2-1_-2_0_0,111,109
109,[N:1]>>C-C(=O)-[N:1]_-1_0_0,115,110
110,[N:1]>>[N-]=[N+]=[N:1]_-2_0_0,134,111
111,[O:1]>>C-C(=O)-[O:1]_-1_0_0,154,112
112,[O:1]>>C-C(-C)(-C)-[Si](-C)(-C)-[O:1]_-1_0_0,169,113
113,[N:1]>>[N:1]-C-c1:c:c:c:c:c:1_-1_0_0,193,114
114,[C:1]-[O:2]>>C-C-O-[C:1]=[O:2]_-2-1_00_00,196,115
115,[N:1]>>O=C(-[N:1])-O-C-c1:c:c:c:c:c:1_-1_0_0,197,116
116,[C:1]-[O:2]>>C-O-[C:1]=[O:2]_-2-1_00_00,228,117
117,[O:1]>>C-C(-C)(-C)-[O:1]_-1_0_0,281,118
118,[O:1]>>[O:1]-C-c1:c:c:c:c:c:1_-1_0_0,385,119
119,[C:1]>>O=[C:1]_-2_0_0,433,120
120,[O:1]>>C-C-[O:1]_-1_0_0,1123,121
121,[N:1]>>O=[N:1]-[O-]_-2_1_0,1277,122
122,[N:1]>>C-C(-C)(-C)-O-C(=O)-[N:1]_-1_0_0,1493,123
123,[O:1]>>C-[O:1]_-1_0_0,1797,124
